"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Desocupada (150)",3,1,1,,1,
"Sin nivel (151)",1,1,,,,
"Secundaria (154)",1,,,,1,
"Superior univ. completa (158)",1,,1,,,
"No PEA (160)",357,34,294,14,8,7
"Sin nivel (161)",1,,1,,,
"Educación inicial (162)",2,2,,,,
"Primaria (163)",30,18,3,2,3,4
"Secundaria (164)",230,14,207,4,4,1
"Superior no univ. incompleta (165)",70,,69,,1,
"Superior no univ. completa (166)",9,,7,2,,
"Superior univ. incompleta (167)",8,,7,1,,
"Superior univ. completa (168)",7,,,5,,2
