"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia TRUJILLO (000)",314322,111051,60946,114433,6891,8182,12819
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",990,720,,,270,,
"Profes., científicos e intelectuales (002)",40211,32427,,6809,855,115,5
"Técnicos de nivel medio y trab. asimilados (003)",23343,15294,,6625,1241,146,37
"Jefes y empleados de oficina (004)",18184,17935,,125,1,123,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",62336,21306,760,34142,1684,4436,8
"Agricult.trabaj. calif.agrop. y pesqueros (006)",6894,52,106,6326,410,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",45565,,23734,19669,1406,756,
"Obreros construc.,conf., papel, fab., instr. (008)",42324,6707,14629,20106,673,208,1
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",67013,12641,20363,19053,256,1932,12768
"Otra (010)",1804,1804,,,,,
"Ocupación no especificada (011)",5658,2165,1354,1578,95,466,
"Hombres (012)",195870,60556,51898,74912,4830,3178,496
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",670,474,,,196,,
"Profes., científicos e intelectuales (014)",19878,14837,,4370,623,48,
"Técnicos de nivel medio y trab. asimilados (015)",14519,8890,,4696,850,81,2
"Jefes y empleados de oficina (016)",8936,8829,,55,,52,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",27140,10681,266,14450,824,919,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",6134,47,103,5624,360,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",36746,,19221,15826,1186,513,
"Obreros construc.,conf., papel, fab., instr. (020)",41056,6620,14171,19450,642,172,1
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",36004,7385,17183,9592,106,1245,493
"Otra (022)",1677,1677,,,,,
"Ocupación no especificada (023)",3110,1116,954,849,43,148,
"Mujeres (024)",118452,50495,9048,39521,2061,5004,12323
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",320,246,,,74,,
"Profes., científicos e intelectuales (026)",20333,17590,,2439,232,67,5
"Técnicos de nivel medio y trab. asimilados (027)",8824,6404,,1929,391,65,35
"Jefes y empleados de oficina (028)",9248,9106,,70,1,71,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",35196,10625,494,19692,860,3517,8
"Agricult.trabaj. calif.agrop. y pesqueros (030)",760,5,3,702,50,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",8819,,4513,3843,220,243,
"Obreros construc.,conf., papel, fab., instr. (032)",1268,87,458,656,31,36,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",31009,5256,3180,9461,150,687,12275
"Otra (034)",127,127,,,,,
"Ocupación no especificada (035)",2548,1049,400,729,52,318,
,,,,,,,
"URBANA (036)",307233,110311,58818,111151,6825,7561,12567
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",983,715,,,268,,
"Profes., científicos e intelectuales (038)",40066,32308,,6787,851,115,5
"Técnicos de nivel medio y trab. asimilados (039)",23224,15221,,6589,1234,143,37
"Jefes y empleados de oficina (040)",18083,17836,,125,1,121,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",61744,21125,755,33788,1679,4389,8
"Agricult.trabaj. calif.agrop. y pesqueros (042)",4639,48,80,4137,374,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",45048,,23391,19509,1398,750,
"Obreros construc.,conf., papel, fab., instr. (044)",41684,6614,14377,19816,670,206,1
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",64404,12509,18890,18854,256,1379,12516
"Otra (046)",1791,1791,,,,,
"Ocupación no especificada (047)",5567,2144,1325,1546,94,458,
"Hombres (048)",190293,60117,49998,72204,4778,2712,484
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",667,472,,,195,,
"Profes., científicos e intelectuales (050)",19815,14789,,4359,619,48,
"Técnicos de nivel medio y trab. asimilados (051)",14440,8850,,4664,846,78,2
"Jefes y empleados de oficina (052)",8889,8783,,55,,51,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",26936,10592,264,14349,822,909,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",4017,43,78,3566,330,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",36316,,18941,15689,1178,508,
"Obreros construc.,conf., papel, fab., instr. (056)",40433,6527,13924,19171,639,171,1
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",34044,7292,15856,9507,106,802,481
"Otra (058)",1666,1666,,,,,
"Ocupación no especificada (059)",3070,1103,935,844,43,145,
"Mujeres (060)",116940,50194,8820,38947,2047,4849,12083
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",316,243,,,73,,
"Profes., científicos e intelectuales (062)",20251,17519,,2428,232,67,5
"Técnicos de nivel medio y trab. asimilados (063)",8784,6371,,1925,388,65,35
"Jefes y empleados de oficina (064)",9194,9053,,70,1,70,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",34808,10533,491,19439,857,3480,8
"Agricult.trabaj. calif.agrop. y pesqueros (066)",622,5,2,571,44,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",8732,,4450,3820,220,242,
"Obreros construc.,conf., papel, fab., instr. (068)",1251,87,453,645,31,35,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",30360,5217,3034,9347,150,577,12035
"Otra (070)",125,125,,,,,
"Ocupación no especificada (071)",2497,1041,390,702,51,313,
,,,,,,,
"RURAL (072)",7089,740,2128,3282,66,621,252
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",7,5,,,2,,
"Profes., científicos e intelectuales (074)",145,119,,22,4,,
"Técnicos de nivel medio y trab. asimilados (075)",119,73,,36,7,3,
"Jefes y empleados de oficina (076)",101,99,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",592,181,5,354,5,47,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",2255,4,26,2189,36,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",517,,343,160,8,6,
"Obreros construc.,conf., papel, fab., instr. (080)",640,93,252,290,3,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",2609,132,1473,199,,553,252
"Otra (082)",13,13,,,,,
"Ocupación no especificada (083)",91,21,29,32,1,8,
"Hombres (084)",5577,439,1900,2708,52,466,12
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",3,2,,,1,,
"Profes., científicos e intelectuales (086)",63,48,,11,4,,
"Técnicos de nivel medio y trab. asimilados (087)",79,40,,32,4,3,
"Jefes y empleados de oficina (088)",47,46,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",204,89,2,101,2,10,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",2117,4,25,2058,30,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",430,,280,137,8,5,
