"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia ASCOPE (000)",37753,71,2598,1710,1580,5601,3163,3574,4888,13776,127,665
"Agric., ganadería, caza y silvicultura (001)",11319,1,51,83,42,,3078,31,120,7913,,
"Pesca (002)",405,,3,5,10,,85,58,20,224,,
"Explotación de minas y canteras (003)",68,,7,9,2,,,32,6,12,,
"Industrias manufactureras (004)",4022,,110,248,221,63,,2440,289,651,,
"Suministro de electricidad, gas y agua (005)",86,,2,7,12,,,22,18,25,,
"Construcción (006)",2427,,28,39,17,,,190,1530,623,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6358,,53,267,54,3964,,720,53,1247,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",704,,9,28,7,86,,521,29,24,,
"Comercio al por mayor (009)",394,,8,50,18,247,,4,6,61,,
"Comercio al por menor (010)",5260,,36,189,29,3631,,195,18,1162,,
"Hoteles y restaurantes (011)",1626,,9,66,30,819,,1,1,700,,
"Trans., almac. y comunicaciones (012)",3596,2,18,105,135,11,,34,2751,540,,
"Intermediación financiera (013)",128,,11,28,76,,,,,13,,
"Activid.inmobil., empres. y alquileres (014)",1660,3,257,358,243,501,,26,39,233,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1145,30,56,68,516,62,,5,52,229,127,
"Enseñanza (016)",1971,35,1744,21,92,,,,1,78,,
"Servicios sociales y de salud (017)",536,,178,238,57,22,,4,5,32,,
"Otras activ. serv.comun.soc y personales (018)",815,,68,161,40,158,,10,3,375,,
"Hogares privados con servicio doméstico (019)",876,,1,4,,1,,,,870,,
"Actividad economica no especificada (021)",715,,2,3,33,,,1,,11,,665
"Hombres (022)",27709,48,1255,1160,793,2322,3017,3234,4801,10649,124,306
"Agric., ganadería, caza y silvicultura (023)",10513,1,49,66,32,,2935,31,117,7282,,
"Pesca (024)",393,,1,5,10,,82,57,20,218,,
"Explotación de minas y canteras (025)",59,,3,6,2,,,32,6,10,,
"Industrias manufactureras (026)",3514,,92,215,181,41,,2117,263,605,,
"Suministro de electricidad, gas y agua (027)",70,,1,6,5,,,22,14,22,,
"Construcción (028)",2378,,26,34,13,,,189,1512,604,,
