"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia HUALGAYOC (000)",43401,2560,4796,25394,132,9239,412,868
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",29,27,,,2,,,
"Profes., científicos e intelectuales (002)",1455,1309,,136,6,4,,
"Técnicos de nivel medio y trab. asimilados (003)",436,329,,74,29,4,,
"Jefes y empleados de oficina (004)",244,243,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1331,195,5,956,18,157,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",15579,1,,15542,36,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",8766,,763,7237,18,748,,
"Obreros construc.,conf.,papel, fab., instr. (008)",1489,150,486,751,15,87,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",12745,182,3460,534,,8157,412,
"Otra (010)",53,53,,,,,,
"Ocupaciñn no especificada (011)",406,71,82,164,8,81,,
"Desocupado (012)",868,,,,,,,868
"Hombres (013)",23835,1636,4456,14057,94,2920,13,659
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",25,25,,,,,,
"Profes., científicos e intelectuales (015)",820,745,,69,4,2,,
"Técnicos de nivel medio y trab. asimilados (016)",329,247,,59,22,1,,
"Jefes y empleados de oficina (017)",154,153,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",565,131,3,398,6,27,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",11506,1,,11474,31,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",2111,,657,1338,14,102,,
"Obreros construc.,conf.,papel, fab., instr. (021)",1110,148,477,438,15,32,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",6344,110,3252,230,,2739,13,
"Otra (023)",52,52,,,,,,
"Ocupaciñn no especificada (024)",160,24,67,51,2,16,,
"Desocupado (025)",659,,,,,,,659
"Mujeres (026)",19566,924,340,11337,38,6319,399,209
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",4,2,,,2,,,
"Profes., científicos e intelectuales (028)",635,564,,67,2,2,,
"Técnicos de nivel medio y trab. asimilados (029)",107,82,,15,7,3,,
"Jefes y empleados de oficina (030)",90,90,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",766,64,2,558,12,130,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",4073,,,4068,5,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",6655,,106,5899,4,646,,
"Obreros construc.,conf.,papel, fab., instr. (034)",379,2,9,313,,55,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",6401,72,208,304,,5418,399,
"Otra (036)",1,1,,,,,,
"Ocupaciñn no especificada (037)",246,47,15,113,6,65,,
"Desocupado (038)",209,,,,,,,209
,,,,,,,,
"URBANA (039)",8450,2161,1560,3165,79,561,250,674
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",24,22,,,2,,,
"Profes., científicos e intelectuales (041)",1238,1138,,92,5,3,,
"Técnicos de nivel medio y trab. asimilados (042)",357,283,,51,19,4,,
"Jefes y empleados de oficina (043)",217,216,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",898,153,3,609,16,117,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",1103,1,,1093,9,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",1184,,535,598,13,38,,
"Obreros construc.,conf.,papel, fab., instr. (047)",731,111,321,274,13,12,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",1756,142,662,344,,358,250,
"Otra (049)",43,43,,,,,,
"Ocupaciñn no especificada (050)",225,52,39,104,2,28,,
"Desocupado (051)",674,,,,,,,674
"Hombres (052)",5803,1338,1419,2177,55,293,7,514
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",20,20,,,,,,
"Profes., científicos e intelectuales (054)",672,624,,44,3,1,,
"Técnicos de nivel medio y trab. asimilados (055)",260,208,,39,12,1,,
"Jefes y empleados de oficina (056)",130,129,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",433,98,2,305,5,23,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",1021,1,,1011,9,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",867,,498,335,13,21,,
"Obreros construc.,conf.,papel, fab., instr. (060)",718,110,316,267,13,12,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",1037,85,570,145,,230,7,
"Otra (062)",42,42,,,,,,
"Ocupaciñn no especificada (063)",89,21,33,31,,4,,
"Desocupado (064)",514,,,,,,,514
"Mujeres (065)",2647,823,141,988,24,268,243,160
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",4,2,,,2,,,
"Profes., científicos e intelectuales (067)",566,514,,48,2,2,,
"Técnicos de nivel medio y trab. asimilados (068)",97,75,,12,7,3,,
"Jefes y empleados de oficina (069)",87,87,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",465,55,1,304,11,94,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",82,,,82,,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",317,,37,263,,17,,
"Obreros construc.,conf.,papel, fab., instr. (073)",13,1,5,7,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",719,57,92,199,,128,243,
"Otra (075)",1,1,,,,,,
"Ocupaciñn no especificada (076)",136,31,6,73,2,24,,
"Desocupado (077)",160,,,,,,,160
,,,,,,,,
"RURAL (078)",34951,399,3236,22229,53,8678,162,194
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",5,5,,,,,,
"Profes., científicos e intelectuales (080)",217,171,,44,1,1,,
"Técnicos de nivel medio y trab. asimilados (081)",79,46,,23,10,,,
"Jefes y empleados de oficina (082)",27,27,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",433,42,2,347,2,40,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",14476,,,14449,27,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",7582,,228,6639,5,710,,
"Obreros construc.,conf.,papel, fab., instr. (086)",758,39,165,477,2,75,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",10989,40,2798,190,,7799,162,
"Otra (088)",10,10,,,,,,
"Ocupaciñn no especificada (089)",181,19,43,60,6,53,,
"Desocupado (090)",194,,,,,,,194
"Hombres (091)",18032,298,3037,11880,39,2627,6,145
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",5,5,,,,,,
"Profes., científicos e intelectuales (093)",148,121,,25,1,1,,
"Técnicos de nivel medio y trab. asimilados (094)",69,39,,20,10,,,
"Jefes y empleados de oficina (095)",24,24,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",132,33,1,93,1,4,,
