"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CANTA (000)",6156,102,1859,1922,1609,664
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",15,,,4,7,4
"Profes., científicos e intelectuales (002)",273,,49,120,100,4
"Técnicos de nivel medio y trab.asimilados (003)",134,,36,61,28,9
"Jefes y empleados de oficina (004)",98,,44,36,16,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",520,3,141,196,136,44
"Agricult.trabaj. calif. agrop. y pesqueros (006)",1551,14,192,413,583,349
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",239,,98,88,43,10
"Obreros construc., conf., papel, fab., instr. (008)",342,,128,118,81,15
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",2679,78,1055,799,557,190
"Otra (010)",32,,2,23,7,
"Ocupación no especificada (011)",125,,39,32,25,29
"Desocupado (012)",148,7,75,32,26,8
"Hombres (013)",4189,67,1307,1265,1081,469
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",12,,,2,6,4
"Profes., científicos e intelectuales (015)",128,,21,48,55,4
"Técnicos de nivel medio y trab.asimilados (016)",75,,22,34,14,5
"Jefes y empleados de oficina (017)",56,,24,20,11,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",180,,46,62,49,23
"Agricult.trabaj. calif. agrop. y pesqueros (019)",1287,11,152,353,489,282
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",201,,79,75,39,8
"Obreros construc., conf., papel, fab., instr. (021)",338,,128,116,79,15
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",1716,50,763,490,307,106
"Otra (023)",29,,1,22,6,
"Ocupación no especificada (024)",50,,14,15,7,14
"Desocupado (025)",117,6,57,28,19,7
"Mujeres (026)",1967,35,552,657,528,195
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",3,,,2,1,
"Profes., científicos e intelectuales (028)",145,,28,72,45,
"Técnicos de nivel medio y trab.asimilados (029)",59,,14,27,14,4
"Jefes y empleados de oficina (030)",42,,20,16,5,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",340,3,95,134,87,21
"Agricult.trabaj. calif. agrop. y pesqueros (032)",264,3,40,60,94,67
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",38,,19,13,4,2
"Obreros construc., conf., papel, fab., instr. (034)",4,,,2,2,
