"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHACHAPOYAS (000)",18809,14116,1172,666,2855
"Agric., ganadería, caza y silvicultura (001)",7970,7659,277,20,14
"Pesca (002)",1,1,,,
"Explotación de minas y canteras (003)",31,12,13,4,2
"Industrias manufactureras (004)",799,703,55,23,18
"Suministro de electricidad, gas y agua (005)",48,3,2,34,9
"Construcción (006)",1114,769,194,119,32
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2250,2119,98,24,9
"Venta, mant.y rep. veh.autom y motoc. (008)",218,190,20,3,5
"Comercio al por mayor (009)",158,133,14,7,4
"Comercio al por menor (010)",1874,1796,64,14,
"Hoteles y restaurantes (011)",621,539,69,7,6
"Trans., almac. y comunicaciones (012)",707,555,78,40,34
"Intermediación financiera (013)",70,10,17,18,25
"Activid.inmobil., empres. y alquileres (014)",497,245,70,73,109
"Admin.pub. y defensa; p. segur soc.afil (015)",1204,,,,1204
"Enseñanza (016)",1590,205,197,241,947
"Servicios sociales y de salud (017)",447,46,17,11,373
"Otras activ. serv.comun.soc y personales (018)",448,296,66,36,50
"Hogares privados con servicio doméstico (019)",688,688,,,
"Actividad economica no especificada (021)",324,266,19,16,23
"Hombres (022)",12213,9379,819,431,1584
"Agric., ganadería, caza y silvicultura (023)",6408,6179,203,14,12
"Pesca (024)",1,1,,,
"Explotación de minas y canteras (025)",30,11,13,4,2
"Industrias manufactureras (026)",539,469,47,13,10
"Suministro de electricidad, gas y agua (027)",41,2,1,30,8
"Construcción (028)",1092,758,192,112,30
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1013,920,67,18,8
"Venta, mant.y rep. veh.autom y motoc. (030)",202,178,18,2,4
"Comercio al por mayor (031)",99,78,10,7,4
"Comercio al por menor (032)",712,664,39,9,
"Hoteles y restaurantes (033)",139,108,26,3,2
"Trans., almac. y comunicaciones (034)",626,496,64,37,29
"Intermediación financiera (035)",34,8,8,5,13
"Activid.inmobil., empres. y alquileres (036)",338,159,46,55,78
"Admin.pub. y defensa; p. segur soc.afil (037)",797,,,,797
"Enseñanza (038)",689,67,96,106,420
"Servicios sociales y de salud (039)",169,21,7,8,133
"Otras activ. serv.comun.soc y personales (040)",198,107,40,21,30
"Hogares privados con servicio doméstico (041)",21,21,,,
