"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia CHANCHAMAYO",,,,,,
"Viviendas particulares (001)",41934,40986,765,161,18,4
"Ocupantes presentes (002)",166385,158059,6081,1873,284,88
"Casa independiente",,,,,,
"Viviendas particulares (004)",32165,31372,652,123,15,3
"Ocupantes presentes (005)",130139,123245,5159,1428,237,70
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",583,548,30,5,,
"Ocupantes presentes (008)",1863,1593,224,46,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",979,927,28,21,2,1
"Ocupantes presentes (011)",3729,3213,219,244,35,18
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",1029,980,39,9,1,
"Ocupantes presentes (014)",4124,3650,347,115,12,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",6659,6644,13,2,,
"Ocupantes presentes (017)",24752,24613,113,26,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",382,380,1,1,,
"Ocupantes presentes (020)",1321,1303,4,14,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",103,101,2,,,
"Ocupantes presentes (023)",374,359,15,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",34,34,,,,
"Ocupantes presentes (026)",83,83,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",22733,21900,671,140,18,4
"Ocupantes presentes (029)",94150,86860,5309,1609,284,88
"Casa independiente",,,,,,
"Viviendas particulares (031)",19646,18953,571,104,15,3
"Ocupantes presentes (032)",82738,76741,4500,1190,237,70
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",583,548,30,5,,
"Ocupantes presentes (035)",1863,1593,224,46,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",979,927,28,21,2,1
"Ocupantes presentes (038)",3729,3213,219,244,35,18
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",1029,980,39,9,1,
"Ocupantes presentes (041)",4124,3650,347,115,12,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",382,380,1,1,,
"Ocupantes presentes (047)",1321,1303,4,14,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",87,85,2,,,
"Ocupantes presentes (050)",311,296,15,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",27,27,,,,
"Ocupantes presentes (053)",64,64,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",19201,19086,94,21,,
"Ocupantes presentes (056)",72235,71199,772,264,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",12519,12419,81,19,,
"Ocupantes presentes (059)",47401,46504,659,238,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",6659,6644,13,2,,
"Ocupantes presentes (071)",24752,24613,113,26,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",16,16,,,,
"Ocupantes presentes (077)",63,63,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",7,7,,,,
"Ocupantes presentes (080)",19,19,,,,
