"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TALARA (000)",2187,1845,342
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",813,576,237
"Casa pensión (003)",193,172,21
"Hospital, clinica (004)",90,90,
"Cárcel, centro de readaptación social (005)",13,13,
"Otro (008)",554,530,24
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",524,464,60
