"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUARAL (000)",164660,2773,44253,44645,35117,25930,11942
"Hombres (001)",83461,1418,22702,22647,17435,13202,6057
"Mujeres (002)",81199,1355,21551,21998,17682,12728,5885
"Viviendas particulares (003)",161991,2756,44190,43497,34133,25523,11892
"Hombres (004)",81079,1411,22670,21627,16534,12820,6017
"Mujeres (005)",80912,1345,21520,21870,17599,12703,5875
"Viviendas colectivas (006)",2232,13,31,978,838,338,34
"Hombres (007)",2081,7,16,913,794,325,26
"Mujeres (008)",151,6,15,65,44,13,8
"Otro tipo (009)",437,4,32,170,146,69,16
"Hombres (010)",301,,16,107,107,57,14
"Mujeres (011)",136,4,16,63,39,12,2
,,,,,,,
"URBANA (012)",136487,2290,37207,36763,29182,21468,9577
"Hombres (013)",68042,1189,19070,18235,14073,10674,4801
"Mujeres (014)",68445,1101,18137,18528,15109,10794,4776
"Viviendas particulares (015)",135396,2273,37148,36317,28825,21291,9542
"Hombres (016)",67232,1182,19042,17915,13795,10522,4776
"Mujeres (017)",68164,1091,18106,18402,15030,10769,4766
"Viviendas colectivas (018)",656,13,27,276,212,109,19
"Hombres (019)",511,7,12,213,172,96,11
"Mujeres (020)",145,6,15,63,40,13,8
"Otro tipo (021)",435,4,32,170,145,68,16
"Hombres (022)",299,,16,107,106,56,14
"Mujeres (023)",136,4,16,63,39,12,2
,,,,,,,
"RURAL (024)",28173,483,7046,7882,5935,4462,2365
"Hombres (025)",15419,229,3632,4412,3362,2528,1256
"Mujeres (026)",12754,254,3414,3470,2573,1934,1109
"Viviendas particulares (027)",26595,483,7042,7180,5308,4232,2350
"Hombres (028)",13847,229,3628,3712,2739,2298,1241
"Mujeres (029)",12748,254,3414,3468,2569,1934,1109
"Viviendas colectivas (030)",1576,,4,702,626,229,15
"Hombres (031)",1570,,4,700,622,229,15
"Mujeres (032)",6,,,2,4,,
"Otro tipo (033)",2,,,,1,1,
"Hombres (034)",2,,,,1,1,
