"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUANCABAMBA (000)",31314,811,10257,9791,7887,2568
"Agric., ganadería, caza y silvicultura (001)",22434,696,7355,6307,5879,2197
"Pesca (002)",8,,5,3,,
"Explotación de minas y canteras (003)",15,,7,7,1,
"Industrias manufactureras (004)",1184,26,467,366,251,74
"Suministro de electricidad, gas y agua (005)",37,,18,12,6,1
"Construcción (006)",820,7,248,318,213,34
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1427,30,402,513,390,92
"Venta, mant.y rep. veh.autom.y motoc. (008)",103,6,40,40,15,2
"Comercio al por mayor (009)",69,,18,22,23,6
"Comercio al por menor (010)",1255,24,344,451,352,84
"Hoteles y restaurantes (011)",332,10,115,100,90,17
"Trans., almac. y comunicaciones (012)",614,9,292,228,78,7
"Intermediación financiera (013)",15,,4,8,3,
"Activid.inmobil., empres. y alquileres (014)",257,,85,114,55,3
"Admin.pub. y defensa; p. segur.soc.afil (015)",504,,148,234,110,12
"Enseñanza (016)",1811,,417,966,420,8
"Servicios sociales y de salud (017)",267,,89,129,46,3
"Otras activ. serv.comun.soc y personales (018)",236,3,79,85,51,18
"Hogares privados con servicio doméstico (019)",522,30,265,124,80,23
"Actividad economica no especificada (021)",831,,261,277,214,79
"Hombres (022)",24333,586,7839,7462,6254,2192
"Agric., ganadería, caza y silvicultura (023)",19551,534,6318,5560,5147,1992
"Pesca (024)",8,,5,3,,
"Explotación de minas y canteras (025)",12,,6,6,,
"Industrias manufactureras (026)",485,4,170,164,105,42
"Suministro de electricidad, gas y agua (027)",36,,18,11,6,1
"Construcción (028)",799,6,239,311,209,34
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",852,23,246,292,234,57
"Venta, mant.y rep. veh.autom.y motoc. (030)",92,5,37,36,13,1
"Comercio al por mayor (031)",41,,12,12,15,2
"Comercio al por menor (032)",719,18,197,244,206,54
"Hoteles y restaurantes (033)",99,7,42,29,17,4
"Trans., almac. y comunicaciones (034)",583,9,271,222,74,7
"Intermediación financiera (035)",8,,1,5,2,
"Activid.inmobil., empres. y alquileres (036)",158,,43,75,37,3
"Admin.pub. y defensa; p. segur.soc.afil (037)",359,,89,174,85,11
"Enseñanza (038)",905,,223,433,243,6
"Servicios sociales y de salud (039)",129,,36,59,32,2
"Otras activ. serv.comun.soc y personales (040)",120,2,52,38,20,8
