"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MOHO (000)",11279,10431,450,112,286
"Agric., ganadería, caza y silvicultura (001)",9298,9041,246,11,
"Pesca (002)",23,23,,,
"Explotación de minas y canteras (003)",8,4,1,1,2
"Industrias manufactureras (004)",149,135,13,1,
"Suministro de electricidad, gas y agua (005)",3,,,1,2
"Construcción (006)",171,132,32,4,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",541,521,13,5,2
"Venta, mant.y rep. veh.autom y motoc. (008)",17,15,1,,1
"Comercio al por mayor (009)",13,11,,1,1
"Comercio al por menor (010)",511,495,12,4,
"Hoteles y restaurantes (011)",122,113,6,2,1
"Trans., almac. y comunicaciones (012)",104,93,7,2,2
"Intermediación financiera (013)",1,1,,,
"Activid.inmobil., empres. y alquileres (014)",19,13,3,2,1
"Admin.pub. y defensa; p. segur soc.afil (015)",204,,,,204
"Enseñanza (016)",304,98,103,75,28
"Servicios sociales y de salud (017)",50,14,2,1,33
"Otras activ. serv.comun.soc y personales (018)",24,17,5,1,1
"Hogares privados con servicio doméstico (019)",47,47,,,
"Actividad economica no especificada (021)",211,179,19,6,7
"Hombres (022)",6234,5616,307,92,219
"Agric., ganadería, caza y silvicultura (023)",5023,4860,153,10,
"Pesca (024)",21,21,,,
"Explotación de minas y canteras (025)",8,4,1,1,2
"Industrias manufactureras (026)",99,90,8,1,
"Suministro de electricidad, gas y agua (027)",3,,,1,2
"Construcción (028)",169,131,31,4,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",235,224,7,3,1
"Venta, mant.y rep. veh.autom y motoc. (030)",15,13,1,,1
"Comercio al por mayor (031)",7,6,,1,
"Comercio al por menor (032)",213,205,6,2,
"Hoteles y restaurantes (033)",27,23,2,1,1
"Trans., almac. y comunicaciones (034)",97,87,6,2,2
"Intermediación financiera (035)",1,1,,,
"Activid.inmobil., empres. y alquileres (036)",13,9,1,2,1
"Admin.pub. y defensa; p. segur soc.afil (037)",167,,,,167
"Enseñanza (038)",220,64,78,60,18
"Servicios sociales y de salud (039)",31,11,1,1,18
"Otras activ. serv.comun.soc y personales (040)",19,12,5,1,1
"Hogares privados con servicio doméstico (041)",7,7,,,
"Actividad economica no especificada (043)",94,72,14,5,3
"Mujeres (044)",5045,4815,143,20,67
