"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia OTUZCO (000)",31739,88164,80450,,1781,91.3,2
"De 12 a 14 años (001)",3363,23,21,,4,91.3,17.4
"De 15 a 19 años (002)",4096,757,743,216,98.2,28.5,
"De 20 a 24 años (003)",3561,3436,3360,470,97.8,13.7,
"De 25 a 29 años (004)",3025,5574,5431,383,97.4,6.9,
"De 30 a 34 años (005)",2973,7760,7503,353,96.7,4.5,
"De 35 a 39 años (006)",2745,9231,8860,244,96,2.6,
"De 40 a 44 años (007)",2250,8979,8502,93,94.7,1,
"De 45 a 49 años (008)",1976,9238,8638,17,93.5,0.2,
"De 50 y más años (009)",7750,43166,37392,1,86.6,,
"PEA (010)",5884,14023,13071,278,93.2,2,
"De 12 a 14 años (011)",265,5,5,1,100,20,
"De 15 a 19 años (012)",715,110,104,30,94.5,27.3,
"De 20 a 24 años (013)",714,507,501,64,98.8,12.6,
"De 25 a 29 años (014)",693,1001,979,58,97.8,5.8,
"De 30 a 34 años (015)",694,1408,1378,70,97.9,5,
"De 35 a 39 años (016)",641,1713,1663,42,97.1,2.5,
"De 40 a 44 años (017)",526,1658,1607,12,96.9,0.7,
"De 45 a 49 años (018)",443,1785,1683,1,94.3,0.1,
"De 50 y más años (019)",1193,5836,5151,,88.3,,
"Ocupada (020)",5705,13836,12893,269,93.2,1.9,
"De 12 a 14 años (021)",250,5,5,1,100,20,
"De 15 a 19 años (022)",680,106,100,29,94.3,27.4,
"De 20 a 24 años (023)",668,492,487,62,99,12.6,
"De 25 a 29 años (024)",666,977,955,55,97.7,5.6,
"De 30 a 34 años (025)",679,1379,1349,67,97.8,4.9,
"De 35 a 39 años (026)",627,1691,1641,42,97,2.5,
"De 40 a 44 años (027)",523,1656,1605,12,96.9,0.7,
"De 45 a 49 años (028)",437,1759,1657,1,94.2,0.1,
"De 50 y más años (029)",1175,5771,5094,,88.3,,
"Desocupada (030)",179,187,178,9,95.2,4.8,
"De 12 a 14 años (031)",15,,,,,,
"De 15 a 19 años (032)",35,4,4,1,100,25,
"De 20 a 24 años (033)",46,15,14,2,93.3,13.3,
"De 25 a 29 años (034)",27,24,24,3,100,12.5,
"De 30 a 34 años (035)",15,29,29,3,100,10.3,
"De 35 a 39 años (036)",14,22,22,,100,,
