"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia SANCHEZ CARRION (000)",37151,3478,5267,18822,432,6796,621,1735
"Agric., ganadería, caza y silvicultura (001)",22720,21,2416,14042,255,5986,,
"Pesca (002)",8,,7,1,,,,
"Explotación de minas y canteras (003)",775,36,663,41,12,23,,
"Industrias manufactureras (004)",1612,28,349,1087,43,105,,
"Suministro de electricidad, gas y agua (005)",33,7,25,,,1,,
"Construcción (006)",1473,63,1098,239,23,50,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2511,302,84,1843,38,244,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",218,25,62,120,4,7,,
"Comercio al por mayor (009)",166,32,6,105,6,17,,
"Comercio al por menor (010)",2127,245,16,1618,28,220,,
"Hoteles y restaurantes (011)",785,183,36,479,20,67,,
"Trans., almac. y comunicaciones (012)",963,233,257,431,21,21,,
"Intermediación financiera (013)",49,48,,,1,,,
"Activid.inmobil., empres. y alquileres (014)",290,209,36,41,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",518,415,103,,,,,
"Enseñanza (016)",1526,1459,2,60,2,3,,
"Servicios sociales y de salud (017)",231,194,5,31,1,,,
"Otras activ. serv.comun.soc y personales (018)",427,173,39,193,5,17,,
"Hogares privados con servicio doméstico (019)",621,,,,,,621,
"Actividad economica no especificada (021)",874,107,147,334,7,279,,
"Desocupado (022)",1735,,,,,,,1735
"Hombres (023)",29328,1891,4889,16252,384,4529,19,1364
"Agric., ganadería, caza y silvicultura (024)",20386,21,2234,13624,248,4259,,
"Pesca (025)",7,,7,,,,,
"Explotación de minas y canteras (026)",764,35,655,39,12,23,,
"Industrias manufactureras (027)",1164,24,323,713,40,64,,
"Suministro de electricidad, gas y agua (028)",31,6,25,,,,,
"Construcción (029)",1438,57,1072,237,23,49,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1281,156,81,946,28,70,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",207,17,61,119,4,6,,
"Comercio al por mayor (032)",118,21,6,80,5,6,,
"Comercio al por menor (033)",956,118,14,747,19,58,,
"Hoteles y restaurantes (034)",125,38,10,66,3,8,,
"Trans., almac. y comunicaciones (035)",922,209,249,427,20,17,,
"Intermediación financiera (036)",24,24,,,,,,
"Activid.inmobil., empres. y alquileres (037)",206,139,29,34,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",397,313,84,,,,,
"Enseñanza (039)",694,670,2,21,,1,,
"Servicios sociales y de salud (040)",91,62,2,26,1,,,
"Otras activ. serv.comun.soc y personales (041)",141,75,9,50,3,4,,
"Hogares privados con servicio doméstico (042)",19,,,,,,19,
"Actividad economica no especificada (044)",274,62,107,69,2,34,,
"Desocupado (045)",1364,,,,,,,1364
"Mujeres (046)",7823,1587,378,2570,48,2267,602,371
"Agric., ganadería, caza y silvicultura (047)",2334,,182,418,7,1727,,
"Pesca (048)",1,,,1,,,,
"Explotación de minas y canteras (049)",11,1,8,2,,,,
"Industrias manufactureras (050)",448,4,26,374,3,41,,
"Suministro de electricidad, gas y agua (051)",2,1,,,,1,,
"Construcción (052)",35,6,26,2,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",1230,146,3,897,10,174,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",11,8,1,1,,1,,
"Comercio al por mayor (055)",48,11,,25,1,11,,
"Comercio al por menor (056)",1171,127,2,871,9,162,,
"Hoteles y restaurantes (057)",660,145,26,413,17,59,,
"Trans., almac. y comunicaciones (058)",41,24,8,4,1,4,,
"Intermediación financiera (059)",25,24,,,1,,,
"Activid.inmobil., empres. y alquileres (060)",84,70,7,7,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",121,102,19,,,,,
"Enseñanza (062)",832,789,,39,2,2,,
"Servicios sociales y de salud (063)",140,132,3,5,,,,
"Otras activ. serv.comun.soc y personales (064)",286,98,30,143,2,13,,
"Hogares privados con servicio doméstico (065)",602,,,,,,602,
"Actividad economica no especificada (067)",600,45,40,265,5,245,,
"Desocupado (068)",371,,,,,,,371
,,,,,,,,
"URBANA (069)",11676,3000,2221,4401,193,627,474,760
"Agric., ganadería, caza y silvicultura (070)",1843,16,462,1136,36,193,,
"Pesca (071)",2,,1,1,,,,
"Explotación de minas y canteras (072)",458,32,388,26,8,4,,
"Industrias manufactureras (073)",819,21,214,509,38,37,,
"Suministro de electricidad, gas y agua (074)",22,5,16,,,1,,
"Construcción (075)",898,60,665,137,20,16,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",2048,270,73,1471,31,203,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",193,23,53,110,2,5,,
"Comercio al por mayor (078)",119,27,5,74,2,11,,
"Comercio al por menor (079)",1736,220,15,1287,27,187,,
"Hoteles y restaurantes (080)",601,134,25,375,20,47,,
"Trans., almac. y comunicaciones (081)",791,201,170,386,21,13,,
"Intermediación financiera (082)",49,48,,,1,,,
"Activid.inmobil., empres. y alquileres (083)",255,189,25,38,3,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",459,385,74,,,,,
"Enseñanza (085)",1295,1241,1,48,2,3,,
"Servicios sociales y de salud (086)",201,170,4,26,1,,,
"Otras activ. serv.comun.soc y personales (087)",360,148,31,170,5,6,,
"Hogares privados con servicio doméstico (088)",474,,,,,,474,
"Actividad economica no especificada (090)",341,80,72,78,7,104,,
"Desocupado (091)",760,,,,,,,760
"Hombres (092)",7594,1627,2035,2934,152,260,12,574
"Agric., ganadería, caza y silvicultura (093)",1680,16,415,1080,35,134,,
"Pesca (094)",1,,1,,,,,
"Explotación de minas y canteras (095)",450,31,382,25,8,4,,
"Industrias manufactureras (096)",665,18,201,387,35,24,,
"Suministro de electricidad, gas y agua (097)",21,5,16,,,,,
"Construcción (098)",869,54,644,135,20,16,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",993,133,70,718,22,50,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",183,16,52,109,2,4,,
"Comercio al por mayor (101)",75,16,5,50,2,2,,
"Comercio al por menor (102)",735,101,13,559,18,44,,
"Hoteles y restaurantes (103)",106,36,8,51,3,8,,
"Trans., almac. y comunicaciones (104)",755,179,163,382,20,11,,
"Intermediación financiera (105)",24,24,,,,,,
"Activid.inmobil., empres. y alquileres (106)",179,125,19,32,3,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",348,290,58,,,,,
"Enseñanza (108)",578,558,1,18,,1,,
"Servicios sociales y de salud (109)",78,53,1,23,1,,,
"Otras activ. serv.comun.soc y personales (110)",116,58,6,48,3,1,,
"Hogares privados con servicio doméstico (111)",12,,,,,,12,
"Actividad economica no especificada (113)",145,47,50,35,2,11,,
"Desocupado (114)",574,,,,,,,574
"Mujeres (115)",4082,1373,186,1467,41,367,462,186
