"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia HUANCANE (000)",69522,33780,35742,13851,6981,6870,55671,26799,28872
"Menores de 1 año (001)",965,508,457,211,121,90,754,387,367
"Menores de 1 mes (002)",85,47,38,28,18,10,57,29,28
"De 1 a 11 meses (003)",880,461,419,183,103,80,697,358,339
"De 1 a 4 años (004)",5161,2666,2495,1028,529,499,4133,2137,1996
"1 año (005)",1088,596,492,210,125,85,878,471,407
"2 años (006)",1287,655,632,292,145,147,995,510,485
"3 años (007)",1328,676,652,238,121,117,1090,555,535
"4 años (008)",1458,739,719,288,138,150,1170,601,569
"De 5 a 9 años (009)",7097,3622,3475,1341,704,637,5756,2918,2838
"5 años (010)",1397,706,691,259,135,124,1138,571,567
"6 años (011)",1245,621,624,236,102,134,1009,519,490
"7 años (012)",1418,722,696,268,136,132,1150,586,564
"8 años (013)",1517,751,766,281,159,122,1236,592,644
"9 años (014)",1520,822,698,297,172,125,1223,650,573
"De 10 a 14 años (015)",8370,4245,4125,1583,819,764,6787,3426,3361
"10 años (016)",1597,811,786,294,159,135,1303,652,651
"11 años (017)",1498,773,725,276,154,122,1222,619,603
"12 años (018)",1868,961,907,333,180,153,1535,781,754
"13 años (019)",1709,842,867,346,170,176,1363,672,691
"14 años (020)",1698,858,840,334,156,178,1364,702,662
"De 15 a 19 años (021)",6523,3272,3251,1534,794,740,4989,2478,2511
"15 años (022)",1541,744,797,326,153,173,1215,591,624
"16 años (023)",1334,654,680,296,145,151,1038,509,529
"17 años (024)",1372,683,689,303,148,155,1069,535,534
"18 años (025)",1238,626,612,334,188,146,904,438,466
"19 años (026)",1038,565,473,275,160,115,763,405,358
"De 20 a 24 años (027)",4851,2472,2379,1257,637,620,3594,1835,1759
"20 años (028)",1269,635,634,318,167,151,951,468,483
"21 años (029)",844,421,423,215,106,109,629,315,314
"22 años (030)",1022,545,477,248,144,104,774,401,373
"23 años (031)",833,422,411,257,127,130,576,295,281
"24 años (032)",883,449,434,219,93,126,664,356,308
"De 25 a 29 años (033)",4078,1951,2127,1019,490,529,3059,1461,1598
"25 años (034)",906,417,489,239,112,127,667,305,362
"26 años (035)",818,385,433,209,102,107,609,283,326
"27 años (036)",873,419,454,212,97,115,661,322,339
"28 años (037)",795,398,397,191,90,101,604,308,296
"29 años (038)",686,332,354,168,89,79,518,243,275
"De 30 a 34 años (039)",3762,1774,1988,915,426,489,2847,1348,1499
"30 años (040)",933,457,476,236,120,116,697,337,360
"31 años (041)",603,292,311,153,74,79,450,218,232
"32 años (042)",752,343,409,191,84,107,561,259,302
"33 años (043)",773,351,422,193,84,109,580,267,313
"34 años (044)",701,331,370,142,64,78,559,267,292
