"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia LIMA",,,,
"Viviendas particulares (001)",1489095,1295853,127918,65324
"Ocupantes presentes (002)",6608631,5857915,478721,271995
"Casa independiente",,,,
"Viviendas particulares (004)",1142762,1022417,63489,56856
"Ocupantes presentes (005)",5410312,4900442,269491,240379
"Departamento en edificio",,,,
"Viviendas particulares (007)",254388,210553,43835,
"Ocupantes presentes (008)",863157,723194,139963,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",55866,44311,11555,
"Ocupantes presentes (011)",203063,164261,38802,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",20729,12086,7460,1183
"Ocupantes presentes (014)",75670,46493,24723,4454
"Choza o cabaña",,,,
"Viviendas particulares (016)",23,,,23
"Ocupantes presentes (017)",93,,,93
"Vivienda improvisada",,,,
"Viviendas particulares (019)",11625,3403,1231,6991
"Ocupantes presentes (020)",45079,14244,4639,26196
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",3502,3083,348,71
"Ocupantes presentes (023)",10624,9281,1103,240
"Otro tipo",,,,
"Viviendas particulares (025)",200,,,200
"Ocupantes presentes (026)",633,,,633
Si,,,,
"Viviendas particulares (028)",1413316,1257939,119329,36048
"Ocupantes presentes (029)",6276823,5680146,443783,152894
"Casa independiente",,,,
"Viviendas particulares (031)",1078964,990048,57158,31758
"Ocupantes presentes (032)",5121962,4742762,242318,136882
"Departamento en edificio",,,,
"Viviendas particulares (034)",249780,206925,42855,
"Ocupantes presentes (035)",846753,710026,136727,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",54153,43188,10965,
"Ocupantes presentes (038)",197152,160274,36878,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",19830,11694,7125,1011
"Ocupantes presentes (041)",72296,45075,23508,3713
"Choza o cabaña",,,,
"Viviendas particulares (043)",13,,,13
"Ocupantes presentes (044)",52,,,52
"Vivienda improvisada",,,,
"Viviendas particulares (046)",7076,3088,924,3064
"Ocupantes presentes (047)",27974,12984,3415,11575
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",3342,2996,302,44
"Ocupantes presentes (050)",10121,9025,937,159
"Otro tipo",,,,
"Viviendas particulares (052)",158,,,158
"Ocupantes presentes (053)",513,,,513
No,,,,
"Viviendas particulares (055)",75779,37914,8589,29276
"Ocupantes presentes (056)",331808,177769,34938,119101
"Casa independiente",,,,
"Viviendas particulares (058)",63798,32369,6331,25098
"Ocupantes presentes (059)",288350,157680,27173,103497
"Departamento en edificio",,,,
"Viviendas particulares (061)",4608,3628,980,
"Ocupantes presentes (062)",16404,13168,3236,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",1713,1123,590,
"Ocupantes presentes (065)",5911,3987,1924,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",899,392,335,172
"Ocupantes presentes (068)",3374,1418,1215,741
"Choza o cabaña",,,,
"Viviendas particulares (070)",10,,,10
"Ocupantes presentes (071)",41,,,41
"Vivienda improvisada",,,,
"Viviendas particulares (073)",4549,315,307,3927
"Ocupantes presentes (074)",17105,1260,1224,14621
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",160,87,46,27
"Ocupantes presentes (077)",503,256,166,81
"Otro tipo",,,,
"Viviendas particulares (079)",42,,,42
"Ocupantes presentes (080)",120,,,120
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",1488582,1295795,127885,64902
"Ocupantes presentes (110)",6606512,5857695,478606,270211
"Casa independiente",,,,
"Viviendas particulares (112)",1142272,1022359,63456,56457
"Ocupantes presentes (113)",5408286,4900222,269376,238688
"Departamento en edificio",,,,
"Viviendas particulares (115)",254388,210553,43835,
"Ocupantes presentes (116)",863157,723194,139963,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",55866,44311,11555,
"Ocupantes presentes (119)",203063,164261,38802,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",20729,12086,7460,1183
"Ocupantes presentes (122)",75670,46493,24723,4454
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",11625,3403,1231,6991
"Ocupantes presentes (128)",45079,14244,4639,26196
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",3502,3083,348,71
"Ocupantes presentes (131)",10624,9281,1103,240
"Otro tipo",,,,
"Viviendas particulares (133)",200,,,200
"Ocupantes presentes (134)",633,,,633
Si,,,,
"Viviendas particulares (136)",1412976,1257898,119306,35772
"Ocupantes presentes (137)",6275412,5679992,443706,151714
"Casa independiente",,,,
"Viviendas particulares (139)",1078637,990007,57135,31495
"Ocupantes presentes (140)",5120603,4742608,242241,135754
"Departamento en edificio",,,,
"Viviendas particulares (142)",249780,206925,42855,
"Ocupantes presentes (143)",846753,710026,136727,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",54153,43188,10965,
"Ocupantes presentes (146)",197152,160274,36878,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",19830,11694,7125,1011
"Ocupantes presentes (149)",72296,45075,23508,3713
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",7076,3088,924,3064
"Ocupantes presentes (155)",27974,12984,3415,11575
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",3342,2996,302,44
"Ocupantes presentes (158)",10121,9025,937,159
"Otro tipo",,,,
"Viviendas particulares (160)",158,,,158
"Ocupantes presentes (161)",513,,,513
No,,,,
"Viviendas particulares (163)",75606,37897,8579,29130
"Ocupantes presentes (164)",331100,177703,34900,118497
"Casa independiente",,,,
"Viviendas particulares (166)",63635,32352,6321,24962
"Ocupantes presentes (167)",287683,157614,27135,102934
"Departamento en edificio",,,,
"Viviendas particulares (169)",4608,3628,980,
"Ocupantes presentes (170)",16404,13168,3236,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",1713,1123,590,
"Ocupantes presentes (173)",5911,3987,1924,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",899,392,335,172
"Ocupantes presentes (176)",3374,1418,1215,741
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (181)",4549,315,307,3927
"Ocupantes presentes (182)",17105,1260,1224,14621
"Local no dest.para hab. humana",,,,
"Viviendas particulares (184)",160,87,46,27
"Ocupantes presentes (185)",503,256,166,81
"Otro tipo",,,,
"Viviendas particulares (187)",42,,,42
"Ocupantes presentes (188)",120,,,120
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",513,58,33,422
"Ocupantes presentes (218)",2119,220,115,1784
"Casa independiente",,,,
"Viviendas particulares (220)",490,58,33,399
"Ocupantes presentes (221)",2026,220,115,1691
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",23,,,23
"Ocupantes presentes (233)",93,,,93
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",340,41,23,276
"Ocupantes presentes (245)",1411,154,77,1180
"Casa independiente",,,,
"Viviendas particulares (247)",327,41,23,263
"Ocupantes presentes (248)",1359,154,77,1128
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",13,,,13
"Ocupantes presentes (260)",52,,,52
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",173,17,10,146
"Ocupantes presentes (272)",708,66,38,604
"Casa independiente",,,,
"Viviendas particulares (274)",163,17,10,136
"Ocupantes presentes (275)",667,66,38,563
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (286)",10,,,10
"Ocupantes presentes (287)",41,,,41
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
