"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia PAITA (000)",24305,107818,23213,102971,1092,4847
"Casa independiente (001)",24126,107208,23040,102388,1086,4820
"Departamento en edificio (002)",38,127,38,127,,
"Vivienda en quinta (003)",14,41,14,41,,
"Vivienda en casa de vecindad (004)",20,123,20,123,,
"Choza o cabaña (005)",4,24,,,4,24
"Vivienda improvisada (006)",73,215,73,215,,
"Local no dest.para hab. humana (007)",22,55,20,52,2,3
"Otro tipo (008)",8,25,8,25,,
