"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUARAL (000)",65858,44339,7578,6212,7729
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",109,6,16,29,58
"Profes., científicos e intelectuales (002)",4647,1005,572,1096,1974
"Técnicos de nivel medio y trab. asimilados (003)",2728,1304,320,344,760
"Jefes y empleados de oficina (004)",2323,650,304,421,948
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",10889,9499,736,383,271
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7477,6352,879,160,86
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",4299,2711,419,452,717
"Obreros construc.,conf.,papel, fab., instr. (008)",7852,5971,669,611,601
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",23916,15904,3502,2599,1911
"Otra (010)",286,,,,286
"Ocupación no especificada (011)",1332,937,161,117,117
"Hombres (012)",43411,28889,5196,4271,5055
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",79,5,12,17,45
"Profes., científicos e intelectuales (014)",2081,545,250,442,844
"Técnicos de nivel medio y trab. asimilados (015)",1687,848,196,250,393
"Jefes y empleados de oficina (016)",1084,259,120,224,481
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",4817,3901,417,278,221
"Agricult.trabaj.calif.agrop.y pesqueros (018)",6346,5445,689,143,69
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",3650,2294,372,403,581
"Obreros construc.,conf.,papel, fab., instr. (020)",7532,5718,637,592,585
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",15156,9427,2403,1838,1488
"Otra (022)",268,,,,268
"Ocupación no especificada (023)",711,447,100,84,80
"Mujeres (024)",22447,15450,2382,1941,2674
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",30,1,4,12,13
"Profes., científicos e intelectuales (026)",2566,460,322,654,1130
"Técnicos de nivel medio y trab. asimilados (027)",1041,456,124,94,367
"Jefes y empleados de oficina (028)",1239,391,184,197,467
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",6072,5598,319,105,50
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1131,907,190,17,17
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",649,417,47,49,136
"Obreros construc.,conf.,papel, fab., instr. (032)",320,253,32,19,16
