"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANCANE (000)",68806,13146,55660
"Casa independiente (001)",53697,13043,40654
"Departamento en edificio (002)",5,5,
"Vivienda en quinta (003)",26,26,
"Vivienda en casa de vecindad (004)",49,49,
"Choza o cabaña (005)",14979,,14979
"Vivienda improvisada (006)",1,1,
"Local no dest.para hab. humana (007)",27,19,8
"Otro tipo (008)",22,3,19
