"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUACAYBAMBA (000)",6654,6473,1874,597,589,590,1004,787,564,468,181,23064
"De 12 a 14 años (001)",852,843,838,4,1,,,,,,9,6
"De 15 a 19 años (002)",910,873,749,100,18,5,1,,,,37,155
"De 20 a 24 años (003)",627,594,139,216,156,63,18,2,,,33,805
"De 25 a 29 años (004)",590,557,49,98,145,145,107,11,2,,33,1369
"De 30 a 34 años (005)",662,643,16,62,99,131,233,83,14,5,19,2380
"De 35 a 39 años (006)",620,609,15,28,47,81,208,151,67,12,11,2942
"De 40 a 44 años (007)",488,481,5,16,29,41,118,138,91,43,7,2830
"De 45 a 49 años (008)",367,364,10,14,14,20,73,84,77,72,3,2452
"De 50 y más años (009)",1538,1509,53,59,80,104,246,318,313,336,29,10125
"Conviviente (010)",2059,1998,110,314,324,287,443,273,148,99,61,7867
"De 12 a 14 años (011)",10,2,2,,,,,,,,8,
"De 15 a 19 años (012)",155,123,40,65,14,3,1,,,,32,106
"De 20 a 24 años (013)",341,334,30,134,114,43,13,,,,7,547
"De 25 a 29 años (014)",347,341,11,59,91,96,74,8,2,,6,914
"De 30 a 34 años (015)",364,363,3,26,52,68,153,50,8,3,1,1438
"De 35 a 39 años (016)",286,284,4,10,21,31,100,76,36,6,2,1444
"De 40 a 44 años (017)",185,185,2,7,11,14,42,52,38,19,,1110
"De 45 a 49 años (018)",116,116,3,3,3,7,23,27,25,25,,795
"De 50 y más años (019)",255,250,15,10,18,25,37,60,39,46,5,1513
"Separado(a) (020)",215,212,1,55,46,38,33,19,10,10,3,708
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",8,7,,6,1,,,,,,1,8
"De 20 a 24 años (023)",32,31,,23,5,1,1,1,,,1,46
