"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ACOBAMBA (000)",59747,3416,9327,9300,6931,9858,7065,10496,3354
"Sabe leer y escribir (001)",45473,,6841,9224,6824,9291,5838,6397,1058
"No sabe leer y escribir (002)",14274,3416,2486,76,107,567,1227,4099,2296
"Hombres (004)",29333,1768,4701,4704,3436,4825,3347,5083,1469
"Sabe leer y escribir (005)",24423,,3473,4671,3413,4737,3167,4167,795
"No sabe leer y escribir (006)",4910,1768,1228,33,23,88,180,916,674
"Mujeres (008)",30414,1648,4626,4596,3495,5033,3718,5413,1885
"Sabe leer y escribir (009)",21050,,3368,4553,3411,4554,2671,2230,263
"No sabe leer y escribir (010)",9364,1648,1258,43,84,479,1047,3183,1622
,,,,,,,,,
"URBANA (012)",18232,919,2492,2635,2029,3133,2461,3576,987
"Sabe leer y escribir (013)",15052,,1927,2622,2016,3041,2245,2735,466
"No sabe leer y escribir (014)",3180,919,565,13,13,92,216,841,521
"Hombres (016)",8902,477,1234,1316,1005,1504,1166,1776,424
"Sabe leer y escribir (017)",7819,,952,1310,1003,1491,1127,1612,324
"No sabe leer y escribir (018)",1083,477,282,6,2,13,39,164,100
"Mujeres (020)",9330,442,1258,1319,1024,1629,1295,1800,563
"Sabe leer y escribir (021)",7233,,975,1312,1013,1550,1118,1123,142
"No sabe leer y escribir (022)",2097,442,283,7,11,79,177,677,421
,,,,,,,,,
"RURAL (024)",41515,2497,6835,6665,4902,6725,4604,6920,2367
"Sabe leer y escribir (025)",30421,,4914,6602,4808,6250,3593,3662,592
"No sabe leer y escribir (026)",11094,2497,1921,63,94,475,1011,3258,1775
"Hombres (028)",20431,1291,3467,3388,2431,3321,2181,3307,1045
"Sabe leer y escribir (029)",16604,,2521,3361,2410,3246,2040,2555,471
"No sabe leer y escribir (030)",3827,1291,946,27,21,75,141,752,574
"Mujeres (032)",21084,1206,3368,3277,2471,3404,2423,3613,1322
"Sabe leer y escribir (033)",13817,,2393,3241,2398,3004,1553,1107,121
"No sabe leer y escribir (034)",7267,1206,975,36,73,400,870,2506,1201
