"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PAUCARTAMBO (000)",15183,840,1340,9166,197,3535,105
"Sin nivel (001)",3424,21,172,1994,43,1171,23
"Educación inicial (002)",76,,6,39,,31,
"Primaria (003)",8079,88,662,5472,105,1714,38
"Secundaria (004)",2820,202,450,1513,36,577,42
"Superior no univ. incompleta (005)",171,71,28,47,5,19,1
"Superior no univ. completa (006)",325,250,15,48,,12,
"Superior univ. incompleta (007)",71,35,5,24,2,4,1
"Superior univ. completa (008)",217,173,2,29,6,7,
"Hombres (010)",10255,505,1099,7399,156,1083,13
"Sin nivel (011)",1518,9,80,1282,26,119,2
"Educación inicial (012)",29,,4,23,,2,
"Primaria (013)",5958,58,565,4717,89,528,1
"Secundaria (014)",2261,141,403,1268,31,409,9
"Superior no univ. incompleta (015)",127,52,28,33,2,12,
"Superior no univ. completa (016)",181,127,14,34,,6,
"Superior univ. incompleta (017)",58,29,4,20,2,2,1
"Superior univ. completa (018)",123,89,1,22,6,5,
"Mujeres (020)",4928,335,241,1767,41,2452,92
"Sin nivel (021)",1906,12,92,712,17,1052,21
"Educación inicial (022)",47,,2,16,,29,
"Primaria (023)",2121,30,97,755,16,1186,37
"Secundaria (024)",559,61,47,245,5,168,33
"Superior no univ. incompleta (025)",44,19,,14,3,7,1
"Superior no univ. completa (026)",144,123,1,14,,6,
"Superior univ. incompleta (027)",13,6,1,4,,2,
"Superior univ. completa (028)",94,84,1,7,,2,
,,,,,,,
"URBANA (030)",2880,598,421,1471,57,279,54
"Sin nivel (031)",253,6,32,171,6,32,6
"Educación inicial (032)",13,,3,6,,4,
"Primaria (033)",997,48,163,638,21,105,22
"Secundaria (034)",1024,126,188,556,20,110,24
"Superior no univ. incompleta (035)",123,54,19,31,5,13,1
"Superior no univ. completa (036)",258,204,10,34,,10,
"Superior univ. incompleta (037)",50,29,4,13,1,2,1
"Superior univ. completa (038)",162,131,2,22,4,3,
"Hombres (040)",1815,349,366,936,42,116,6
"Sin nivel (041)",84,3,18,57,1,5,
"Educación inicial (042)",5,,2,3,,,
"Primaria (043)",625,30,143,404,17,31,
"Secundaria (044)",746,85,171,403,17,65,5
"Superior no univ. incompleta (045)",86,37,19,20,2,8,
"Superior no univ. completa (046)",136,100,9,23,,4,
"Superior univ. incompleta (047)",40,24,3,10,1,1,1
"Superior univ. completa (048)",93,70,1,16,4,2,
"Mujeres (050)",1065,249,55,535,15,163,48
"Sin nivel (051)",169,3,14,114,5,27,6
"Educación inicial (052)",8,,1,3,,4,
"Primaria (053)",372,18,20,234,4,74,22
"Secundaria (054)",278,41,17,153,3,45,19
"Superior no univ. incompleta (055)",37,17,,11,3,5,1
"Superior no univ. completa (056)",122,104,1,11,,6,
"Superior univ. incompleta (057)",10,5,1,3,,1,
"Superior univ. completa (058)",69,61,1,6,,1,
,,,,,,,
"RURAL (060)",12303,242,919,7695,140,3256,51
"Sin nivel (061)",3171,15,140,1823,37,1139,17
"Educación inicial (062)",63,,3,33,,27,
"Primaria (063)",7082,40,499,4834,84,1609,16
"Secundaria (064)",1796,76,262,957,16,467,18
"Superior no univ. incompleta (065)",48,17,9,16,,6,
"Superior no univ. completa (066)",67,46,5,14,,2,
"Superior univ. incompleta (067)",21,6,1,11,1,2,
"Superior univ. completa (068)",55,42,,7,2,4,
"Hombres (070)",8440,156,733,6463,114,967,7
"Sin nivel (071)",1434,6,62,1225,25,114,2
"Educación inicial (072)",24,,2,20,,2,
"Primaria (073)",5333,28,422,4313,72,497,1
"Secundaria (074)",1515,56,232,865,14,344,4
"Superior no univ. incompleta (075)",41,15,9,13,,4,
"Superior no univ. completa (076)",45,27,5,11,,2,
"Superior univ. incompleta (077)",18,5,1,10,1,1,
"Superior univ. completa (078)",30,19,,6,2,3,
"Mujeres (080)",3863,86,186,1232,26,2289,44
"Sin nivel (081)",1737,9,78,598,12,1025,15
"Educación inicial (082)",39,,1,13,,25,
"Primaria (083)",1749,12,77,521,12,1112,15
"Secundaria (084)",281,20,30,92,2,123,14
"Superior no univ. incompleta (085)",7,2,,3,,2,
"Superior no univ. completa (086)",22,19,,3,,,
"Superior univ. incompleta (087)",3,1,,1,,1,
"Superior univ. completa (088)",25,23,,1,,1,
