"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHACHAPOYAS (000)",46805,2181,5197,5580,4824,8137,6895,10510,3481
"Sabe leer y escribir (001)",40434,,3793,5493,4754,7945,6616,9412,2421
"No sabe leer y escribir (002)",6371,2181,1404,87,70,192,279,1098,1060
"Hombres (004)",22957,1119,2644,2777,2403,3983,3349,5169,1513
"Sabe leer y escribir (005)",20387,,1938,2735,2368,3889,3254,4901,1302
"No sabe leer y escribir (006)",2570,1119,706,42,35,94,95,268,211
"Mujeres (008)",23848,1062,2553,2803,2421,4154,3546,5341,1968
"Sabe leer y escribir (009)",20047,,1855,2758,2386,4056,3362,4511,1119
"No sabe leer y escribir (010)",3801,1062,698,45,35,98,184,830,849
,,,,,,,,,
"URBANA (012)",32519,1368,3333,3766,3472,5891,4976,7394,2319
"Sabe leer y escribir (013)",29043,,2523,3718,3449,5813,4870,6892,1778
"No sabe leer y escribir (014)",3476,1368,810,48,23,78,106,502,541
"Hombres (016)",15587,708,1690,1822,1669,2782,2373,3565,978
"Sabe leer y escribir (017)",14147,,1272,1800,1655,2738,2335,3454,893
"No sabe leer y escribir (018)",1440,708,418,22,14,44,38,111,85
"Mujeres (020)",16932,660,1643,1944,1803,3109,2603,3829,1341
"Sabe leer y escribir (021)",14896,,1251,1918,1794,3075,2535,3438,885
"No sabe leer y escribir (022)",2036,660,392,26,9,34,68,391,456
,,,,,,,,,
"RURAL (024)",14286,813,1864,1814,1352,2246,1919,3116,1162
"Sabe leer y escribir (025)",11391,,1270,1775,1305,2132,1746,2520,643
"No sabe leer y escribir (026)",2895,813,594,39,47,114,173,596,519
"Hombres (028)",7370,411,954,955,734,1201,976,1604,535
"Sabe leer y escribir (029)",6240,,666,935,713,1151,919,1447,409
"No sabe leer y escribir (030)",1130,411,288,20,21,50,57,157,126
"Mujeres (032)",6916,402,910,859,618,1045,943,1512,627
"Sabe leer y escribir (033)",5151,,604,840,592,981,827,1073,234
"No sabe leer y escribir (034)",1765,402,306,19,26,64,116,439,393
