"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PACASMAYO (000)",31502,356,9262,11687,8767,1430
"Agric., ganadería, caza y silvicultura (001)",10020,161,2953,3339,2919,648
"Pesca (002)",298,2,67,112,109,8
"Explotación de minas y canteras (003)",62,,19,30,13,
"Industrias manufactureras (004)",2415,27,826,897,583,82
"Suministro de electricidad, gas y agua (005)",62,,14,37,10,1
"Construcción (006)",2083,14,647,786,566,70
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5374,85,1413,1943,1640,293
"Venta, mant.y rep. veh.autom.y motoc. (008)",716,4,284,238,168,22
"Comercio al por mayor (009)",252,1,83,94,62,12
"Comercio al por menor (010)",4406,80,1046,1611,1410,259
"Hoteles y restaurantes (011)",1125,16,326,390,342,51
"Trans., almac. y comunicaciones (012)",3039,12,1089,1184,690,64
"Intermediación financiera (013)",98,,54,27,17,
"Activid.inmobil., empres. y alquileres (014)",1210,1,426,487,268,28
"Admin.pub. y defensa; p. segur.soc.afil (015)",718,,110,329,256,23
"Enseñanza (016)",1850,,276,997,547,30
"Servicios sociales y de salud (017)",430,,83,180,161,6
"Otras activ. serv.comun.soc y personales (018)",740,7,224,276,191,42
"Hogares privados con servicio doméstico (019)",876,25,379,296,159,17
"Actividad economica no especificada (021)",1102,6,356,377,296,67
"Hombres (022)",22765,255,6739,8207,6437,1127
"Agric., ganadería, caza y silvicultura (023)",8576,127,2499,2804,2553,593
"Pesca (024)",291,2,66,108,108,7
"Explotación de minas y canteras (025)",61,,18,30,13,
"Industrias manufactureras (026)",2071,22,721,771,487,70
"Suministro de electricidad, gas y agua (027)",57,,10,36,10,1
"Construcción (028)",2048,14,634,771,560,69
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2901,56,818,1002,863,162
"Venta, mant.y rep. veh.autom.y motoc. (030)",653,4,251,214,162,22
"Comercio al por mayor (031)",159,1,54,60,38,6
"Comercio al por menor (032)",2089,51,513,728,663,134
"Hoteles y restaurantes (033)",354,5,119,108,103,19
"Trans., almac. y comunicaciones (034)",2877,11,1012,1128,665,61
"Intermediación financiera (035)",53,,22,17,14,
"Activid.inmobil., empres. y alquileres (036)",882,1,276,365,214,26
"Admin.pub. y defensa; p. segur.soc.afil (037)",524,,56,243,207,18
"Enseñanza (038)",714,,83,365,250,16
"Servicios sociales y de salud (039)",156,,21,68,62,5
