"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia HUARAZ",,,,
"Viviendas particulares (001)",29301,24791,4161,349
"Ocupantes presentes (002)",124363,106146,16850,1367
"Casa independiente",,,,
"Viviendas particulares (004)",27408,23433,3646,329
"Ocupantes presentes (005)",117349,100938,15105,1306
"Departamento en edificio",,,,
"Viviendas particulares (007)",744,663,81,
"Ocupantes presentes (008)",2705,2431,274,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",470,325,145,
"Ocupantes presentes (011)",1812,1297,515,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",617,332,278,7
"Ocupantes presentes (014)",2338,1385,926,27
"Choza o cabaña",,,,
"Viviendas particulares (016)",7,,,7
"Ocupantes presentes (017)",15,,,15
"Vivienda improvisada",,,,
"Viviendas particulares (019)",25,12,8,5
"Ocupantes presentes (020)",74,31,26,17
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",30,26,3,1
"Ocupantes presentes (023)",70,64,4,2
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",27002,22958,3726,318
"Ocupantes presentes (029)",114553,98226,15059,1268
"Casa independiente",,,,
"Viviendas particulares (031)",25171,21639,3233,299
"Ocupantes presentes (032)",107777,93175,13389,1213
"Departamento en edificio",,,,
"Viviendas particulares (034)",720,642,78,
"Ocupantes presentes (035)",2630,2363,267,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",452,318,134,
"Ocupantes presentes (038)",1727,1255,472,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",599,322,270,7
"Ocupantes presentes (041)",2267,1339,901,27
"Choza o cabaña",,,,
"Viviendas particulares (043)",7,,,7
"Ocupantes presentes (044)",15,,,15
"Vivienda improvisada",,,,
"Viviendas particulares (046)",24,12,8,4
"Ocupantes presentes (047)",68,31,26,11
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",29,25,3,1
"Ocupantes presentes (050)",69,63,4,2
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",2299,1833,435,31
"Ocupantes presentes (056)",9810,7920,1791,99
"Casa independiente",,,,
"Viviendas particulares (058)",2237,1794,413,30
"Ocupantes presentes (059)",9572,7763,1716,93
"Departamento en edificio",,,,
"Viviendas particulares (061)",24,21,3,
"Ocupantes presentes (062)",75,68,7,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",18,7,11,
"Ocupantes presentes (065)",85,42,43,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",18,10,8,
"Ocupantes presentes (068)",71,46,25,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (073)",1,,,1
"Ocupantes presentes (074)",6,,,6
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",1,1,,
"Ocupantes presentes (077)",1,1,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",23577,20713,2628,236
"Ocupantes presentes (110)",100802,89345,10502,955
"Casa independiente",,,,
"Viviendas particulares (112)",21693,19356,2114,223
"Ocupantes presentes (113)",93808,84141,8758,909
"Departamento en edificio",,,,
"Viviendas particulares (115)",744,663,81,
"Ocupantes presentes (116)",2705,2431,274,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",470,325,145,
"Ocupantes presentes (119)",1812,1297,515,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",617,332,278,7
"Ocupantes presentes (122)",2338,1385,926,27
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",25,12,8,5
"Ocupantes presentes (128)",74,31,26,17
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",28,25,2,1
"Ocupantes presentes (131)",65,60,3,2
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",21841,19256,2375,210
"Ocupantes presentes (137)",93350,83022,9452,876
"Casa independiente",,,,
"Viviendas particulares (139)",20019,17938,1883,198
"Ocupantes presentes (140)",86594,77975,7783,836
"Departamento en edificio",,,,
"Viviendas particulares (142)",720,642,78,
"Ocupantes presentes (143)",2630,2363,267,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",452,318,134,
"Ocupantes presentes (146)",1727,1255,472,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",599,322,270,7
"Ocupantes presentes (149)",2267,1339,901,27
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",24,12,8,4
"Ocupantes presentes (155)",68,31,26,11
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",27,24,2,1
"Ocupantes presentes (158)",64,59,3,2
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",1736,1457,253,26
"Ocupantes presentes (164)",7452,6323,1050,79
"Casa independiente",,,,
"Viviendas particulares (166)",1674,1418,231,25
"Ocupantes presentes (167)",7214,6166,975,73
"Departamento en edificio",,,,
"Viviendas particulares (169)",24,21,3,
"Ocupantes presentes (170)",75,68,7,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",18,7,11,
"Ocupantes presentes (173)",85,42,43,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",18,10,8,
"Ocupantes presentes (176)",71,46,25,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (181)",1,,,1
"Ocupantes presentes (182)",6,,,6
"Local no dest.para hab. humana",,,,
"Viviendas particulares (184)",1,1,,
"Ocupantes presentes (185)",1,1,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",5724,4078,1533,113
"Ocupantes presentes (218)",23561,16801,6348,412
"Casa independiente",,,,
"Viviendas particulares (220)",5715,4077,1532,106
"Ocupantes presentes (221)",23541,16797,6347,397
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",7,,,7
"Ocupantes presentes (233)",15,,,15
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",2,1,1,
"Ocupantes presentes (239)",5,4,1,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",5161,3702,1351,108
"Ocupantes presentes (245)",21203,15204,5607,392
"Casa independiente",,,,
"Viviendas particulares (247)",5152,3701,1350,101
"Ocupantes presentes (248)",21183,15200,5606,377
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",7,,,7
"Ocupantes presentes (260)",15,,,15
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (265)",2,1,1,
"Ocupantes presentes (266)",5,4,1,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",563,376,182,5
"Ocupantes presentes (272)",2358,1597,741,20
"Casa independiente",,,,
"Viviendas particulares (274)",563,376,182,5
"Ocupantes presentes (275)",2358,1597,741,20
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
