"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MANU (000)",18562,7013,11549
"Casa independiente (001)",15495,6478,9017
"Vivienda en quinta (003)",144,144,
"Vivienda en casa de vecindad (004)",199,199,
"Choza o cabaña (005)",2388,,2388
"Vivienda improvisada (006)",148,148,
"Local no dest.para hab. humana (007)",61,39,22
"Otro tipo (008)",127,5,122
