"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia LA MAR (000)",78126,4690,11832,11801,8019,12584,10632,14301,4267
"Sin nivel (001)",18526,4690,2218,144,178,624,1740,5842,3090
"Educación inicial (002)",2176,,2043,44,16,29,44,,
"Primaria (003)",36956,,7571,9494,2549,4770,5263,6270,1039
"Secundaria (004)",17169,,,2119,5169,5846,2458,1471,106
"Superior no univ. incompleto (005)",812,,,,58,398,232,118,6
"Superior no univ. completo (006)",1087,,,,,406,440,235,6
"Superior univ. incompleto (007)",476,,,,49,239,98,87,3
"Superior univ. completo (008)",924,,,,,272,357,278,17
"Hombres (010)",40267,2390,6005,6176,4278,6731,5527,7160,2000
"Sin nivel (011)",6989,2390,1161,82,84,209,432,1544,1087
"Educación inicial (012)",1082,,1027,24,4,10,17,,
"Primaria (013)",19454,,3817,4904,1247,2078,2638,3971,799
"Secundaria (014)",10691,,,1166,2878,3706,1747,1109,85
"Superior no univ. incompleto (015)",496,,,,33,217,148,93,5
"Superior no univ. completo (016)",604,,,,,200,245,153,6
"Superior univ. incompleto (017)",337,,,,32,158,69,75,3
"Superior univ. completo (018)",614,,,,,153,231,215,15
"Mujeres (020)",37859,2300,5827,5625,3741,5853,5105,7141,2267
"Sin nivel (021)",11537,2300,1057,62,94,415,1308,4298,2003
"Educación inicial (022)",1094,,1016,20,12,19,27,,
"Primaria (023)",17502,,3754,4590,1302,2692,2625,2299,240
"Secundaria (024)",6478,,,953,2291,2140,711,362,21
"Superior no univ. incompleto (025)",316,,,,25,181,84,25,1
"Superior no univ. completo (026)",483,,,,,206,195,82,
"Superior univ. incompleto (027)",139,,,,17,81,29,12,
"Superior univ. completo (028)",310,,,,,119,126,63,2
,,,,,,,,,
"URBANA (030)",32127,1763,4460,4827,3620,5508,4805,5796,1348
"Sin nivel (031)",6089,1763,489,56,63,259,633,1970,856
"Educación inicial (032)",1032,,950,30,12,19,21,,
"Primaria (033)",13675,,3021,3481,791,1534,1983,2455,410
"Secundaria (034)",8919,,,1260,2678,2746,1322,851,62
"Superior no univ. incompleto (035)",562,,,,38,281,169,72,2
