"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CARHUAZ (000)",13777,212,4688,4536,3261,1080
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",49,,7,27,14,1
"Profes., científicos e intelectuales (002)",682,,167,344,160,11
"Técnicos de nivel medio y trab.asimilados (003)",251,1,108,98,39,5
"Jefes y empleados de oficina (004)",274,,105,111,57,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1094,3,351,379,279,82
"Agricult.trabaj. calif. agrop. y pesqueros (006)",5025,28,1122,1686,1521,668
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",600,12,267,183,111,27
"Obreros construc., conf., papel, fab., instr. (008)",786,,307,303,159,17
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",3801,145,1691,1042,715,208
"Otra (010)",33,,7,22,4,
"Ocupación no especificada (011)",294,,106,84,69,35
"Desocupado (012)",888,23,450,257,133,25
"Hombres (013)",10246,135,3446,3402,2449,814
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",41,,4,24,13,
"Profes., científicos e intelectuales (015)",391,,84,187,111,9
"Técnicos de nivel medio y trab.asimilados (016)",175,1,77,66,28,3
"Jefes y empleados de oficina (017)",163,,52,67,43,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",411,1,148,131,97,34
"Agricult.trabaj. calif. agrop. y pesqueros (019)",4534,22,1006,1547,1366,593
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",505,8,233,155,90,19
"Obreros construc., conf., papel, fab., instr. (021)",773,,302,299,156,16
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",2416,86,1149,669,403,109
"Otra (023)",33,,7,22,4,
"Ocupación no especificada (024)",91,,41,23,19,8
"Desocupado (025)",713,17,343,212,119,22
"Mujeres (026)",3531,77,1242,1134,812,266
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",8,,3,3,1,1
"Profes., científicos e intelectuales (028)",291,,83,157,49,2
"Técnicos de nivel medio y trab.asimilados (029)",76,,31,32,11,2
"Jefes y empleados de oficina (030)",111,,53,44,14,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",683,2,203,248,182,48
"Agricult.trabaj. calif. agrop. y pesqueros (032)",491,6,116,139,155,75
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",95,4,34,28,21,8
"Obreros construc., conf., papel, fab., instr. (034)",13,,5,4,3,1
