"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,,,,,,,
"URBANA (060)",3408,9,48,130,287,777,1194,963
"De 12 a 14 años (061)",11,,,,,,3,8
"De 15 a 19 años (062)",216,,,,,,100,116
"De 20 a 24 años (063)",422,,,,,1,255,166
"De 25 a 29 años (064)",451,,,,,30,299,122
"De 30 a 34 años (065)",414,,,,,99,229,86
"De 35 a 39 años (066)",432,,,,4,164,188,76
"De 40 a 44 años (067)",354,,,,25,173,86,70
"De 45 a 49 años (068)",277,,,2,29,164,28,54
"De 50 y más años (069)",831,9,48,128,229,146,6,265
"PEA (070)",1524,,13,42,141,383,512,433
"De 12 a 14 años (071)",3,,,,,,,3
"De 15 a 19 años (072)",69,,,,,,29,40
"De 20 a 24 años (073)",187,,,,,,109,78
"De 25 a 29 años (074)",182,,,,,12,106,64
"De 30 a 34 años (075)",198,,,,,47,100,51
"De 35 a 39 años (076)",233,,,,1,85,104,43
"De 40 a 44 años (077)",179,,,,17,85,45,32
"De 45 a 49 años (078)",154,,,1,17,85,17,34
"De 50 y más años (079)",319,,13,41,106,69,2,88
"Ocupada (080)",1508,,13,42,140,381,508,424
"De 12 a 14 años (081)",3,,,,,,,3
"De 15 a 19 años (082)",66,,,,,,28,38
"De 20 a 24 años (083)",183,,,,,,108,75
"De 25 a 29 años (084)",180,,,,,11,106,63
"De 30 a 34 años (085)",195,,,,,47,99,49
"De 35 a 39 años (086)",233,,,,1,85,104,43
"De 40 a 44 años (087)",178,,,,17,85,44,32
"De 45 a 49 años (088)",153,,,1,17,84,17,34
"De 50 y más años (089)",317,,13,41,105,69,2,87
"Desocupada (090)",16,,,,1,2,4,9
"De 15 a 19 años (092)",3,,,,,,1,2
"De 20 a 24 años (093)",4,,,,,,1,3
"De 25 a 29 años (094)",2,,,,,1,,1
"De 30 a 34 años (095)",3,,,,,,1,2
"De 40 a 44 años (097)",1,,,,,,1,
"De 45 a 49 años (098)",1,,,,,1,,
"De 50 y más años (099)",2,,,,1,,,1
"No PEA (100)",1884,9,35,88,146,394,682,530
"De 12 a 14 años (101)",8,,,,,,3,5
"De 15 a 19 años (102)",147,,,,,,71,76
"De 20 a 24 años (103)",235,,,,,1,146,88
"De 25 a 29 años (104)",269,,,,,18,193,58
"De 30 a 34 años (105)",216,,,,,52,129,35
"De 35 a 39 años (106)",199,,,,3,79,84,33
"De 40 a 44 años (107)",175,,,,8,88,41,38
"De 45 a 49 años (108)",123,,,1,12,79,11,20
"De 50 y más años (109)",512,9,35,87,123,77,4,177
,,,,,,,,
"RURAL (120)",4676,7,27,121,318,928,2213,1062
"De 12 a 14 años (121)",20,,,,,,5,15
"De 15 a 19 años (122)",395,,,,,,234,161
"De 20 a 24 años (123)",775,,,,,3,550,222
"De 25 a 29 años (124)",685,,,,,38,524,123
"De 30 a 34 años (125)",566,,,,,110,369,87
"De 35 a 39 años (126)",521,,,,4,146,285,86
"De 40 a 44 años (127)",398,,,,11,186,156,45
"De 45 a 49 años (128)",355,,,,33,193,75,54
"De 50 y más años (129)",961,7,27,121,270,252,15,269
"PEA (130)",1548,1,7,31,109,378,656,366
"De 12 a 14 años (131)",5,,,,,,1,4
"De 15 a 19 años (132)",127,,,,,,67,60
"De 20 a 24 años (133)",239,,,,,1,149,89
"De 25 a 29 años (134)",194,,,,,9,142,43
"De 30 a 34 años (135)",204,,,,,51,121,32
"De 35 a 39 años (136)",200,,,,3,69,96,32
"De 40 a 44 años (137)",152,,,,5,73,57,17
"De 45 a 49 años (138)",127,,,,13,74,17,23
"De 50 y más años (139)",300,1,7,31,88,101,6,66
"Ocupada (140)",1541,1,7,31,109,378,652,363
"De 12 a 14 años (141)",5,,,,,,1,4
"De 15 a 19 años (142)",127,,,,,,67,60
"De 20 a 24 años (143)",238,,,,,1,149,88
"De 25 a 29 años (144)",192,,,,,9,140,43
"De 30 a 34 años (145)",203,,,,,51,121,31
"De 35 a 39 años (146)",197,,,,3,69,94,31
"De 40 a 44 años (147)",152,,,,5,73,57,17
"De 45 a 49 años (148)",127,,,,13,74,17,23
"De 50 y más años (149)",300,1,7,31,88,101,6,66
"Desocupada (150)",7,,,,,,4,3
"De 20 a 24 años (153)",1,,,,,,,1
"De 25 a 29 años (154)",2,,,,,,2,
"De 30 a 34 años (155)",1,,,,,,,1
"De 35 a 39 años (156)",3,,,,,,2,1
"No PEA (160)",3128,6,20,90,209,550,1557,696
"De 12 a 14 años (161)",15,,,,,,4,11
"De 15 a 19 años (162)",268,,,,,,167,101
"De 20 a 24 años (163)",536,,,,,2,401,133
"De 25 a 29 años (164)",491,,,,,29,382,80
"De 30 a 34 años (165)",362,,,,,59,248,55
"De 35 a 39 años (166)",321,,,,1,77,189,54
"De 40 a 44 años (167)",246,,,,6,113,99,28
"De 45 a 49 años (168)",228,,,,20,119,58,31
"De 50 y más años (169)",661,6,20,90,182,151,9,203
