"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CORONEL PORTILLO (000)",76695,64366,12329
"Casa independiente (001)",67552,59402,8150
"Departamento en edificio (002)",480,480,
"Vivienda en quinta (003)",2835,2835,
"Vivienda en casa de vecindad (004)",563,563,
"Choza o cabaña (005)",4165,,4165
"Vivienda improvisada (006)",964,964,
"Local no dest.para hab. humana (007)",106,102,4
"Otro tipo (008)",30,20,10
