"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia VIRU (000)",30346,21,506,805,558,2529,4850,3583,1975,14573,21,925
"Agric., ganadería, caza y silvicultura (001)",16167,,38,222,60,,4830,178,156,10683,,
"Pesca (002)",109,,,,,,20,,,89,,
"Explotación de minas y canteras (003)",87,,2,1,3,,,45,4,32,,
"Industrias manufactureras (004)",4457,,27,138,114,19,,3027,132,1000,,
"Suministro de electricidad, gas y agua (005)",45,,3,5,5,,,5,12,15,,
"Construcción (006)",1359,,6,17,3,,,39,614,680,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2811,,14,84,26,1840,,264,37,546,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",266,,1,9,2,41,,198,10,5,,
"Comercio al por mayor (009)",217,,2,25,12,122,,6,9,41,,
"Comercio al por menor (010)",2328,,11,50,12,1677,,60,18,500,,
"Hoteles y restaurantes (011)",785,,2,30,8,429,,1,1,314,,
"Trans., almac. y comunicaciones (012)",1429,,3,23,63,1,,4,977,358,,
"Intermediación financiera (013)",40,,1,9,29,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",635,,48,120,96,149,,9,27,186,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",234,15,12,14,93,12,,6,8,53,21,
