"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia BOLIVAR (000)",4256,3676,216,166,198
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",24,,1,3,20
"Profes., científicos e intelectuales (002)",386,122,88,115,61
"Técnicos de nivel medio y trab. asimilados (003)",56,34,3,5,14
"Jefes y empleados de oficina (004)",97,9,9,14,65
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",208,200,4,2,2
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1820,1801,18,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",129,122,6,1,
"Obreros construc.,conf.,papel, fab., instr. (008)",132,111,13,5,3
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1170,1068,62,19,21
"Otra (010)",10,,,,10
"Ocupación no especificada (011)",224,209,12,1,2
"Hombres (012)",3456,3036,160,117,143
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",19,,1,3,15
"Profes., científicos e intelectuales (014)",209,54,46,74,35
"Técnicos de nivel medio y trab. asimilados (015)",32,18,2,2,10
"Jefes y empleados de oficina (016)",66,4,6,11,45
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",73,68,2,1,2
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1772,1754,17,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",97,90,6,1,
"Obreros construc.,conf.,papel, fab., instr. (020)",132,111,13,5,3
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",924,826,59,18,21
"Otra (022)",10,,,,10
"Ocupación no especificada (023)",122,111,8,1,2
"Mujeres (024)",800,640,56,49,55
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",5,,,,5
"Profes., científicos e intelectuales (026)",177,68,42,41,26
"Técnicos de nivel medio y trab. asimilados (027)",24,16,1,3,4
"Jefes y empleados de oficina (028)",31,5,3,3,20
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",135,132,2,1,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",48,47,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",32,32,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",246,242,3,1,
"Ocupación no especificada (035)",102,98,4,,
,,,,,
"URBANA (036)",1670,1192,158,148,172
