"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUALLAGA (000)",24441,13274,11167
"Casa independiente (001)",20841,12976,7865
"Vivienda en quinta (003)",139,139,
"Vivienda en casa de vecindad (004)",117,117,
"Choza o cabaña (005)",3302,,3302
"Vivienda improvisada (006)",10,10,
"Local no dest.para hab. humana (007)",22,22,
"Otro tipo (008)",10,10,
