"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia NAZCA (000)",1632,1570,62
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",619,619,
"Casa pensión (003)",118,111,7
"Hospital, clinica (004)",83,83,
"Otro (008)",257,204,53
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",555,553,2
