"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia COTABAMBAS (000)",42241,2680,6675,6691,3779,5443,5320,8520,3133
"Sabe leer y escribir (001)",28957,,4832,6618,3649,4707,3836,4417,898
"No sabe leer y escribir (002)",13284,2680,1843,73,130,736,1484,4103,2235
"Hombres (004)",21384,1372,3303,3507,2014,2696,2696,4294,1502
"Sabe leer y escribir (005)",16681,,2414,3475,1985,2558,2357,3174,718
"No sabe leer y escribir (006)",4703,1372,889,32,29,138,339,1120,784
"Mujeres (008)",20857,1308,3372,3184,1765,2747,2624,4226,1631
"Sabe leer y escribir (009)",12276,,2418,3143,1664,2149,1479,1243,180
"No sabe leer y escribir (010)",8581,1308,954,41,101,598,1145,2983,1451
,,,,,,,,,
"URBANA (012)",11340,602,1490,1689,1082,1755,1757,2250,715
"Sabe leer y escribir (013)",9276,,1212,1680,1074,1683,1597,1674,356
"No sabe leer y escribir (014)",2064,602,278,9,8,72,160,576,359
"Hombres (016)",5795,311,736,861,561,870,915,1211,330
"Sabe leer y escribir (017)",5083,,594,856,559,851,899,1081,243
"No sabe leer y escribir (018)",712,311,142,5,2,19,16,130,87
"Mujeres (020)",5545,291,754,828,521,885,842,1039,385
"Sabe leer y escribir (021)",4193,,618,824,515,832,698,593,113
"No sabe leer y escribir (022)",1352,291,136,4,6,53,144,446,272
,,,,,,,,,
"RURAL (024)",30901,2078,5185,5002,2697,3688,3563,6270,2418
"Sabe leer y escribir (025)",19681,,3620,4938,2575,3024,2239,2743,542
"No sabe leer y escribir (026)",11220,2078,1565,64,122,664,1324,3527,1876
"Hombres (028)",15589,1061,2567,2646,1453,1826,1781,3083,1172
"Sabe leer y escribir (029)",11598,,1820,2619,1426,1707,1458,2093,475
"No sabe leer y escribir (030)",3991,1061,747,27,27,119,323,990,697
"Mujeres (032)",15312,1017,2618,2356,1244,1862,1782,3187,1246
"Sabe leer y escribir (033)",8083,,1800,2319,1149,1317,781,650,67
"No sabe leer y escribir (034)",7229,1017,818,37,95,545,1001,2537,1179
