"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PALPA (000)",5170,3257,853,543,517
"Agric., ganadería, caza y silvicultura (001)",2403,1389,551,314,149
"Pesca (002)",5,4,1,,
"Explotación de minas y canteras (003)",303,195,54,49,5
"Industrias manufactureras (004)",133,104,11,7,11
"Suministro de electricidad, gas y agua (005)",8,2,2,1,3
"Construcción (006)",175,106,36,26,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",678,645,28,2,3
"Venta, mant.y rep. veh.autom y motoc. (008)",64,62,1,,1
"Comercio al por mayor (009)",30,26,2,,2
"Comercio al por menor (010)",584,557,25,2,
"Hoteles y restaurantes (011)",195,185,10,,
"Trans., almac. y comunicaciones (012)",258,214,21,9,14
"Intermediación financiera (013)",12,4,6,1,1
"Activid.inmobil., empres. y alquileres (014)",130,81,19,22,8
"Admin.pub. y defensa; p. segur soc.afil (015)",148,,,,148
"Enseñanza (016)",281,55,67,89,70
"Servicios sociales y de salud (017)",118,25,6,2,85
"Otras activ. serv.comun.soc y personales (018)",95,74,14,5,2
"Hogares privados con servicio doméstico (019)",87,87,,,
"Actividad economica no especificada (021)",141,87,27,16,11
"Hombres (022)",3444,2236,572,345,291
"Agric., ganadería, caza y silvicultura (023)",1785,1143,378,187,77
"Pesca (024)",5,4,1,,
"Explotación de minas y canteras (025)",278,182,53,38,5
"Industrias manufactureras (026)",93,70,10,6,7
"Suministro de electricidad, gas y agua (027)",7,1,2,1,3
"Construcción (028)",172,105,35,25,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",311,300,6,2,3
"Venta, mant.y rep. veh.autom y motoc. (030)",58,56,1,,1
"Comercio al por mayor (031)",21,18,1,,2
"Comercio al por menor (032)",232,226,4,2,
"Hoteles y restaurantes (033)",49,46,3,,
"Trans., almac. y comunicaciones (034)",237,199,18,7,13
"Intermediación financiera (035)",4,,3,,1
"Activid.inmobil., empres. y alquileres (036)",102,63,14,19,6
"Admin.pub. y defensa; p. segur soc.afil (037)",104,,,,104
"Enseñanza (038)",93,10,16,43,24
"Servicios sociales y de salud (039)",50,11,3,1,35
"Otras activ. serv.comun.soc y personales (040)",58,42,13,2,1
"Hogares privados con servicio doméstico (041)",13,13,,,
"Actividad economica no especificada (043)",83,47,17,14,5
