"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia LA UNION (000)",4296,41,115,281,488,870,1509,992
"De 12 a 14 años (001)",6,,,,,,,6
"De 15 a 19 años (002)",104,,,,,,69,35
"De 20 a 24 años (003)",305,,,,,,199,106
"De 25 a 29 años (004)",399,,,,,13,291,95
"De 30 a 34 años (005)",479,,,,,64,327,88
"De 35 a 39 años (006)",502,,,,3,130,297,72
"De 40 a 44 años (007)",458,,,,15,163,206,74
"De 45 a 49 años (008)",384,,,,25,191,96,72
"De 50 y más años (009)",1659,41,115,281,445,309,24,444
"Conviviente (010)",1287,,5,19,46,180,753,284
"De 12 a 14 años (011)",6,,,,,,,6
"De 15 a 19 años (012)",80,,,,,,53,27
"De 20 a 24 años (013)",211,,,,,,149,62
"De 25 a 29 años (014)",253,,,,,9,189,55
"De 30 a 34 años (015)",225,,,,,27,155,43
"De 35 a 39 años (016)",182,,,,1,38,113,30
"De 40 a 44 años (017)",126,,,,6,42,65,13
"De 45 a 49 años (018)",64,,,,3,24,23,14
"De 50 y más años (019)",140,,5,19,36,40,6,34
"Separado(a) (020)",104,1,2,6,16,23,38,18
"De 15 a 19 años (022)",6,,,,,,4,2
"De 20 a 24 años (023)",11,,,,,,8,3
"De 25 a 29 años (024)",10,,,,,1,8,1
"De 30 a 34 años (025)",10,,,,,2,7,1
"De 35 a 39 años (026)",6,,,,,,4,2
"De 40 a 44 años (027)",11,,,,,7,2,2
"De 45 a 49 años (028)",12,,,,3,4,4,1
"De 50 y más años (029)",38,1,2,6,13,9,1,6
"Casado(a) (030)",2000,9,36,126,293,573,628,335
"De 15 a 19 años (032)",3,,,,,,2,1
"De 20 a 24 años (033)",29,,,,,,23,6
"De 25 a 29 años (034)",100,,,,,2,81,17
"De 30 a 34 años (035)",198,,,,,31,143,24
"De 35 a 39 años (036)",271,,,,1,78,164,28
"De 40 a 44 años (037)",271,,,,5,98,133,35
"De 45 a 49 años (038)",265,,,,14,146,66,39
"De 50 y más años (039)",863,9,36,126,273,218,16,185
"Viudo(a) (040)",653,29,67,121,114,67,22,233
"De 15 a 19 años (042)",2,,,,,,1,1
"De 25 a 29 años (044)",3,,,,,,2,1
"De 30 a 34 años (045)",7,,,,,,4,3
"De 35 a 39 años (046)",16,,,,,6,7,3
"De 40 a 44 años (047)",28,,,,,8,6,14
"De 45 a 49 años (048)",30,,,,3,15,1,11
"De 50 y más años (049)",567,29,67,121,111,38,1,200
"Divorciado(a) (050)",23,,2,4,4,3,4,6
"De 20 a 24 años (053)",1,,,,,,,1
"De 25 a 29 años (054)",2,,,,,,1,1
"De 30 a 34 años (055)",2,,,,,,2,
