"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia RECUAY (000)",5503,3975,483,432,613
"Hombres (001)",3934,2774,385,351,424
"Mujeres (002)",1569,1201,98,81,189
"De 06 a 14 años (003)",78,73,2,3,
"Hombres (004)",50,45,2,3,
"Mujeres (005)",28,28,,,
"De 15 a 29 años (006)",1575,1108,180,142,145
"Hombres (007)",1094,757,142,111,84
"Mujeres (008)",481,351,38,31,61
"De 30 a 44 años (009)",1766,1114,170,193,289
"Hombres (010)",1239,754,131,151,203
"Mujeres (011)",527,360,39,42,86
"De 45 a 64 años (012)",1546,1177,115,90,164
"Hombres (013)",1141,839,96,82,124
"Mujeres (014)",405,338,19,8,40
"De 65 y más años (015)",538,503,16,4,15
"Hombres (016)",410,379,14,4,13
"Mujeres (017)",128,124,2,,2
,,,,,
"URBANA (018)",3239,2107,314,283,535
"Hombres (019)",2164,1339,245,214,366
"Mujeres (020)",1075,768,69,69,169
"De 06 a 14 años (021)",28,24,1,3,
"Hombres (022)",13,9,1,3,
"Mujeres (023)",15,15,,,
"De 15 a 29 años (024)",916,596,110,88,122
"Hombres (025)",601,381,83,64,73
"Mujeres (026)",315,215,27,24,49
"De 30 a 44 años (027)",1067,574,112,129,252
"Hombres (028)",696,342,89,92,173
"Mujeres (029)",371,232,23,37,79
"De 45 a 64 años (030)",919,633,77,61,148
"Hombres (031)",634,412,60,53,109
"Mujeres (032)",285,221,17,8,39
"De 65 y más años (033)",309,280,14,2,13
"Hombres (034)",220,195,12,2,11
"Mujeres (035)",89,85,2,,2
,,,,,
"RURAL (036)",2264,1868,169,149,78
"Hombres (037)",1770,1435,140,137,58
"Mujeres (038)",494,433,29,12,20
"De 06 a 14 años (039)",50,49,1,,
"Hombres (040)",37,36,1,,
"Mujeres (041)",13,13,,,
"De 15 a 29 años (042)",659,512,70,54,23
"Hombres (043)",493,376,59,47,11
"Mujeres (044)",166,136,11,7,12
"De 30 a 44 años (045)",699,540,58,64,37
"Hombres (046)",543,412,42,59,30
"Mujeres (047)",156,128,16,5,7
"De 45 a 64 años (048)",627,544,38,29,16
"Hombres (049)",507,427,36,29,15
"Mujeres (050)",120,117,2,,1
"De 65 y más años (051)",229,223,2,2,2
"Hombres (052)",190,184,2,2,2
"Mujeres (053)",39,39,,,
