"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia GENERAL SANCHEZ CERRO (000)",24250,10714,13536
"Casa independiente (001)",23199,10349,12850
"Departamento en edificio (002)",5,5,
"Vivienda en quinta (003)",7,7,
"Vivienda en casa de vecindad (004)",332,332,
"Choza o cabaña (005)",675,,675
"Vivienda improvisada (006)",4,4,
"Local no dest.para hab. humana (007)",17,8,9
"Otro tipo (008)",11,9,2
