"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia URUBAMBA (000)",20840,54127,48028,,856,88.7,1.6
"De 12 a 14 años (001)",2055,13,13,,1,100,7.7
"De 15 a 19 años (002)",2709,254,251,62,98.8,24.4,
"De 20 a 24 años (003)",2282,1594,1563,187,98.1,11.7,
"De 25 a 29 años (004)",2340,3315,3225,242,97.3,7.3,
"De 30 a 34 años (005)",1970,4780,4581,180,95.8,3.8,
"De 35 a 39 años (006)",1842,5966,5607,122,94,2,
"De 40 a 44 años (007)",1575,6550,6035,52,92.1,0.8,
"De 45 a 49 años (008)",1312,6060,5494,10,90.7,0.2,
"De 50 y más años (009)",4755,25595,21259,,83.1,,
"PEA (010)",6436,16738,15342,269,91.7,1.6,
"De 12 a 14 años (011)",68,3,3,,100,,
"De 15 a 19 años (012)",420,74,72,14,97.3,18.9,
"De 20 a 24 años (013)",942,588,582,57,99,9.7,
"De 25 a 29 años (014)",948,1166,1144,75,98.1,6.4,
"De 30 a 34 años (015)",858,1746,1692,62,96.9,3.6,
"De 35 a 39 años (016)",815,2318,2208,37,95.3,1.6,
"De 40 a 44 años (017)",659,2449,2316,20,94.6,0.8,
"De 45 a 49 años (018)",576,2443,2238,4,91.6,0.2,
"De 50 y más años (019)",1150,5951,5087,,85.5,,
"Ocupada (020)",6283,16520,15130,261,91.6,1.6,
"De 12 a 14 años (021)",65,3,3,,100,,
"De 15 a 19 años (022)",399,70,68,12,97.1,17.1,
"De 20 a 24 años (023)",893,558,552,56,98.9,10,
"De 25 a 29 años (024)",920,1130,1111,72,98.3,6.4,
"De 30 a 34 años (025)",836,1708,1655,61,96.9,3.6,
"De 35 a 39 años (026)",804,2281,2172,36,95.2,1.6,
"De 40 a 44 años (027)",649,2402,2270,20,94.5,0.8,
"De 45 a 49 años (028)",571,2432,2227,4,91.6,0.2,
"De 50 y más años (029)",1146,5936,5072,,85.4,,
"Desocupada (030)",153,218,212,8,97.2,3.7,
"De 12 a 14 años (031)",3,,,,,,
"De 15 a 19 años (032)",21,4,4,2,100,50,
"De 20 a 24 años (033)",49,30,30,1,100,3.3,
"De 25 a 29 años (034)",28,36,33,3,91.7,8.3,
"De 30 a 34 años (035)",22,38,37,1,97.4,2.6,
"De 35 a 39 años (036)",11,37,36,1,97.3,2.7,
