"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ZARUMILLA (000)",14393,13505,3716,2399,2325,1740,1758,752,407,408,888,32971
"De 12 a 14 años (001)",1353,1333,1321,11,1,,,,,,20,13
"De 15 a 19 años (002)",2051,1925,1576,318,28,3,,,,,126,383
"De 20 a 24 años (003)",2055,1772,459,865,359,70,16,3,,,283,1880
"De 25 a 29 años (004)",1883,1678,135,569,639,237,91,4,3,,205,2985
"De 30 a 34 años (005)",1600,1510,60,263,529,388,234,27,7,2,90,3743
"De 35 a 39 años (006)",1362,1313,46,136,333,396,326,64,11,1,49,3909
"De 40 a 44 años (007)",1145,1115,36,95,201,277,359,112,28,7,30,3920
"De 45 a 49 años (008)",874,845,20,44,97,193,270,143,56,22,29,3637
"De 50 y más años (009)",2070,2014,63,98,138,176,462,399,302,376,56,12501
"Sin nivel (010)",551,529,54,27,42,47,108,79,75,97,22,3023
"De 12 a 14 años (011)",10,10,9,1,,,,,,,,1
"De 15 a 19 años (012)",22,21,16,3,2,,,,,,1,7
"De 20 a 24 años (013)",24,21,8,3,6,2,1,1,,,3,32
"De 25 a 29 años (014)",29,24,1,6,6,5,5,1,,,5,60
"De 30 a 34 años (015)",33,31,3,1,7,10,9,,,1,2,96
"De 35 a 39 años (016)",48,44,2,4,7,6,21,2,2,,4,157
"De 40 a 44 años (017)",50,50,3,4,4,10,13,10,6,,,219
"De 45 a 49 años (018)",42,40,2,,1,6,9,12,6,4,2,235
"De 50 y más años (019)",293,288,10,5,9,8,50,53,61,92,5,2216
"Educacion Inicial (020)",31,31,15,7,4,1,3,1,,,,37
"De 12 a 14 años (021)",9,9,8,1,,,,,,,,1
"De 15 a 19 años (022)",4,4,4,,,,,,,,,
