"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia TRUJILLO (000)",228477,2573,7524,17080,27550,44247,66112,63391
"De 12 a 14 años (001)",253,,,,,,24,229
"De 15 a 19 años (002)",4455,,,,,,2489,1966
"De 20 a 24 años (003)",21813,,,,,70,10964,10779
"De 25 a 29 años (004)",28330,,,,,1514,15758,11058
"De 30 a 34 años (005)",28486,,,,10,4618,15696,8162
"De 35 a 39 años (006)",26652,,,,346,8227,11998,6081
"De 40 a 44 años (007)",24598,,,6,1801,10941,6706,5144
"De 45 a 49 años (008)",21372,,,149,4540,10257,2168,4258
"De 50 y más años (009)",72518,2573,7524,16925,20853,8620,309,15714
"Conviviente (010)",72040,110,449,1566,4629,14020,34204,17062
"De 12 a 14 años (011)",168,,,,,,13,155
"De 15 a 19 años (012)",3042,,,,,,1687,1355
"De 20 a 24 años (013)",10804,,,,,33,7137,3634
"De 25 a 29 años (014)",13406,,,,,723,9328,3355
"De 30 a 34 años (015)",12365,,,,1,2061,7747,2556
"De 35 a 39 años (016)",9981,,,,110,3114,4989,1768
"De 40 a 44 años (017)",7497,,,1,497,3267,2411,1321
"De 45 a 49 años (018)",5375,,,32,934,2716,789,904
"De 50 y más años (019)",9402,110,449,1533,3087,2106,103,2014
"Separado(a) (020)",18247,113,445,1388,2733,4581,4489,4498
"De 12 a 14 años (021)",10,,,,,,2,8
"De 15 a 19 años (022)",417,,,,,,240,177
"De 20 a 24 años (023)",1351,,,,,13,895,443
"De 25 a 29 años (024)",1911,,,,,222,1099,590
"De 30 a 34 años (025)",2172,,,,1,602,975,594
"De 35 a 39 años (026)",2276,,,,48,974,711,543
"De 40 a 44 años (027)",2192,,,1,229,1075,423,464
"De 45 a 49 años (028)",1980,,,14,522,915,127,402
"De 50 y más años (029)",5938,113,445,1373,1933,780,17,1277
"Casado(a) (030)",85365,449,2831,9027,15433,20456,21450,15719
"De 12 a 14 años (031)",21,,,,,,,21
"De 15 a 19 años (032)",281,,,,,,121,160
"De 20 a 24 años (033)",2257,,,,,5,1448,804
"De 25 a 29 años (034)",5498,,,,,235,3784,1479
"De 30 a 34 años (035)",9041,,,,1,1239,5875,1926
"De 35 a 39 años (036)",10603,,,,110,3167,5505,1821
"De 40 a 44 años (037)",11553,,,2,775,5461,3456,1859
"De 45 a 49 años (038)",10878,,,61,2409,5623,1105,1680
"De 50 y más años (039)",35233,449,2831,8964,12138,4726,156,5969
"Viudo(a) (040)",17510,1734,3377,4050,2653,1377,429,3890
"De 12 a 14 años (041)",1,,,,,,,1
"De 15 a 19 años (042)",33,,,,,,9,24
"De 20 a 24 años (043)",63,,,,,1,33,29
