"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LAMAS (000)",20952,9859,11093
"Casa independiente (001)",17463,9439,8024
"Departamento en edificio (002)",2,2,
"Vivienda en quinta (003)",238,238,
"Vivienda en casa de vecindad (004)",96,96,
"Choza o cabaña (005)",3055,,3055
"Vivienda improvisada (006)",72,72,
"Local no dest.para hab. humana (007)",11,8,3
"Otro tipo (008)",15,4,11
