"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",12792,1772,2482,2735,2180,1671,1952
"Conviviente (001)",3451,36,806,1239,701,403,266
"Separado(a) (002)",405,5,42,101,81,75,101
"Casado(a) (003)",4145,4,181,808,1117,972,1063
"Viudo(a) (004)",381,,1,11,10,53,306
"Divorciado(a) (005)",27,,,1,3,6,17
"Soltero(a) (006)",4383,1727,1452,575,268,162,199
"Hombres (008)",6782,925,1284,1398,1169,951,1055
"Conviviente (009)",1723,4,301,630,393,242,153
"Separado(a) (010)",153,1,10,27,33,31,51
"Casado(a) (011)",2096,,50,340,536,545,625
"Viudo(a) (012)",114,,,1,2,17,94
"Divorciado(a) (013)",13,,,,,3,10
"Soltero(a) (014)",2683,920,923,400,205,113,122
"Mujeres (016)",6010,847,1198,1337,1011,720,897
"Conviviente (017)",1728,32,505,609,308,161,113
"Separado(a) (018)",252,4,32,74,48,44,50
"Casado(a) (019)",2049,4,131,468,581,427,438
"Viudo(a) (020)",267,,1,10,8,36,212
"Divorciado(a) (021)",14,,,1,3,3,7
"Soltero(a) (022)",1700,807,529,175,63,49,77
,,,,,,,
"URBANA (024)",9921,1430,2026,2165,1673,1302,1325
"Conviviente (025)",2799,29,709,1029,556,303,173
"Separado(a) (026)",335,4,35,92,66,62,76
"Casado(a) (027)",3101,3,118,604,853,782,741
"Viudo(a) (028)",264,,1,9,6,38,210
"Divorciado(a) (029)",21,,,1,3,5,12
"Soltero(a) (030)",3401,1394,1163,430,189,112,113
"Hombres (032)",5196,732,1036,1100,884,740,704
"Conviviente (033)",1399,4,271,524,313,186,101
"Separado(a) (034)",119,1,7,26,24,24,37
"Casado(a) (035)",1560,,34,253,402,440,431
"Viudo(a) (036)",81,,,1,1,15,64
"Divorciado(a) (037)",9,,,,,2,7
"Soltero(a) (038)",2028,727,724,296,144,73,64
"Mujeres (040)",4725,698,990,1065,789,562,621
"Conviviente (041)",1400,25,438,505,243,117,72
"Separado(a) (042)",216,3,28,66,42,38,39
"Casado(a) (043)",1541,3,84,351,451,342,310
"Viudo(a) (044)",183,,1,8,5,23,146
"Divorciado(a) (045)",12,,,1,3,3,5
"Soltero(a) (046)",1373,667,439,134,45,39,49
,,,,,,,
"RURAL (048)",2871,342,456,570,507,369,627
"Conviviente (049)",652,7,97,210,145,100,93
"Separado(a) (050)",70,1,7,9,15,13,25
"Casado(a) (051)",1044,1,63,204,264,190,322
"Viudo(a) (052)",117,,,2,4,15,96
"Divorciado(a) (053)",6,,,,,1,5
"Soltero(a) (054)",982,333,289,145,79,50,86
"Hombres (056)",1586,193,248,298,285,211,351
"Conviviente (057)",324,,30,106,80,56,52
"Separado(a) (058)",34,,3,1,9,7,14
"Casado(a) (059)",536,,16,87,134,105,194
"Viudo(a) (060)",33,,,,1,2,30
"Divorciado(a) (061)",4,,,,,1,3
"Soltero(a) (062)",655,193,199,104,61,40,58
"Mujeres (064)",1285,149,208,272,222,158,276
"Conviviente (065)",328,7,67,104,65,44,41
"Separado(a) (066)",36,1,4,8,6,6,11
"Casado(a) (067)",508,1,47,117,130,85,128
"Viudo(a) (068)",84,,,2,3,13,66
"Divorciado(a) (069)",2,,,,,,2
"Soltero(a) (070)",327,140,90,41,18,10,28
