"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia BOLIVAR (000)",3803,3664,15,493,588,552,874,673,350,119,139,15777
"De 12 a 14 años (001)",5,2,,2,,,,,,,3,2
"De 15 a 19 años (002)",133,119,3,98,14,4,,,,,14,138
"De 20 a 24 años (003)",406,366,3,154,130,58,20,1,,,40,677
"De 25 a 29 años (004)",470,445,1,88,150,119,81,5,1,,25,1135
"De 30 a 34 años (005)",457,444,,55,103,95,134,51,5,1,13,1510
"De 35 a 39 años (006)",467,463,,26,63,97,156,91,25,5,4,1979
"De 40 a 44 años (007)",424,415,1,12,34,46,137,122,51,12,9,2161
"De 45 a 49 años (008)",352,345,1,21,21,35,93,92,67,15,7,1902
"De 50 y más años (009)",1089,1065,6,37,73,98,253,311,201,86,24,6273
"Conviviente (010)",1847,1810,10,277,338,302,432,267,133,51,37,7147
"De 12 a 14 años (011)",4,1,,1,,,,,,,3,1
"De 15 a 19 años (012)",85,75,2,59,11,3,,,,,10,90
"De 20 a 24 años (013)",280,271,3,104,99,47,18,,,,9,517
"De 25 a 29 años (014)",304,299,1,53,96,83,60,5,1,,5,794
"De 30 a 34 años (015)",276,276,,25,67,52,93,36,2,1,,980
"De 35 a 39 años (016)",261,260,,10,30,57,84,58,17,4,1,1166
"De 40 a 44 años (017)",209,209,,6,9,20,72,65,31,6,,1145
"De 45 a 49 años (018)",151,147,1,8,4,18,39,37,34,6,4,834
"De 50 y más años (019)",277,272,3,11,22,22,66,66,48,34,5,1620
"Separado(a) (020)",222,216,1,50,38,32,41,34,15,5,6,797
"De 15 a 19 años (022)",17,15,,14,1,,,,,,2,16
"De 20 a 24 años (023)",28,27,,14,8,5,,,,,1,45
"De 25 a 29 años (024)",29,29,,11,8,8,2,,,,,59
