"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia BONGARA (000)",26676,15732,10944
"Casa independiente (001)",25947,15141,10806
"Departamento en edificio (002)",21,21,
"Vivienda en quinta (003)",157,157,
"Vivienda en casa de vecindad (004)",370,370,
"Choza o cabaña (005)",134,,134
"Vivienda improvisada (006)",18,18,
"Local no dest.para hab. humana (007)",29,25,4
