"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUARAZ (000)",52505,527,16737,19351,12829,3061
"Agric., ganadería, caza y silvicultura (001)",10374,186,2648,2983,2932,1625
"Pesca (002)",10,,4,2,3,1
"Explotación de minas y canteras (003)",1011,1,317,471,202,20
"Industrias manufactureras (004)",2665,24,978,846,625,192
"Suministro de electricidad, gas y agua (005)",156,2,51,67,31,5
"Construcción (006)",4745,21,1607,1838,1129,150
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",9960,148,3239,3446,2579,548
"Venta, mant.y rep. veh.autom.y motoc. (008)",1006,6,456,334,187,23
"Comercio al por mayor (009)",684,4,274,254,127,25
"Comercio al por menor (010)",8270,138,2509,2858,2265,500
"Hoteles y restaurantes (011)",2810,55,1120,880,638,117
"Trans., almac. y comunicaciones (012)",4086,31,1671,1530,776,78
"Intermediación financiera (013)",326,,149,134,42,1
"Activid.inmobil., empres. y alquileres (014)",3028,2,1176,1242,554,54
"Admin.pub. y defensa; p. segur.soc.afil (015)",2291,,678,1003,582,28
"Enseñanza (016)",5397,,797,2980,1573,47
"Servicios sociales y de salud (017)",1360,,307,652,385,16
"Otras activ. serv.comun.soc y personales (018)",1829,28,762,628,341,70
"Hogares privados con servicio doméstico (019)",1598,28,928,411,205,26
"Organiz. y organos extraterritoriales (020)",1,,1,,,
"Actividad economica no especificada (021)",858,1,304,238,232,83
"Hombres (022)",33984,330,10543,12363,8440,2308
"Agric., ganadería, caza y silvicultura (023)",8491,125,2133,2449,2400,1384
"Pesca (024)",8,,2,2,3,1
"Explotación de minas y canteras (025)",935,1,280,446,193,15
"Industrias manufactureras (026)",2063,16,776,636,473,162
"Suministro de electricidad, gas y agua (027)",136,2,42,59,29,4
"Construcción (028)",4578,21,1542,1763,1105,147
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",4913,89,1778,1654,1127,265
"Venta, mant.y rep. veh.autom.y motoc. (030)",939,5,428,305,178,23
"Comercio al por mayor (031)",421,2,178,144,82,15
"Comercio al por menor (032)",3553,82,1172,1205,867,227
"Hoteles y restaurantes (033)",1061,27,478,277,231,48
"Trans., almac. y comunicaciones (034)",3609,27,1388,1402,716,76
"Intermediación financiera (035)",179,,61,88,29,1
"Activid.inmobil., empres. y alquileres (036)",2055,1,705,888,411,50
"Admin.pub. y defensa; p. segur.soc.afil (037)",1453,,359,670,399,25
