"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MARISCAL CACERES (000)",17155,16670,4455,2223,2533,2012,2472,1412,837,726,485,48591
"De 12 a 14 años (001)",1906,1888,1868,18,2,,,,,,18,22
"De 15 a 19 años (002)",2501,2413,1781,503,116,10,3,,,,88,777
"De 20 a 24 años (003)",2002,1855,463,719,486,142,41,4,,,147,2317
"De 25 a 29 años (004)",1866,1753,142,421,616,349,206,16,3,,113,3689
"De 30 a 34 años (005)",1726,1694,62,226,472,416,419,85,12,2,32,4866
"De 35 a 39 años (006)",1634,1608,33,117,330,417,466,192,40,13,26,5783
"De 40 a 44 años (007)",1373,1362,34,78,209,276,401,236,85,43,11,5775
"De 45 a 49 años (008)",1096,1090,20,47,117,174,326,223,125,58,6,5402
"De 50 y más años (009)",3051,3007,52,94,185,228,610,656,572,610,44,19960
"Sin nivel (010)",1263,1231,86,51,83,102,239,232,196,242,32,7559
"De 12 a 14 años (011)",29,29,29,,,,,,,,,
"De 15 a 19 años (012)",41,41,25,10,6,,,,,,,22
"De 20 a 24 años (013)",43,38,6,8,13,7,4,,,,5,73
"De 25 a 29 años (014)",76,72,2,12,22,17,17,2,,,4,191
"De 30 a 34 años (015)",103,102,6,5,11,25,37,14,3,1,1,379
"De 35 a 39 años (016)",116,109,1,3,9,16,39,34,5,2,7,518
"De 40 a 44 años (017)",102,99,5,3,4,5,26,32,13,11,3,579
"De 45 a 49 años (018)",135,134,5,2,7,6,36,27,29,22,1,878
"De 50 y más años (019)",618,607,7,8,11,26,80,123,146,206,11,4919
"Educacion Inicial (020)",24,23,8,3,5,3,3,1,,,1,41
"De 12 a 14 años (021)",5,5,5,,,,,,,,,
"De 15 a 19 años (022)",5,5,3,1,1,,,,,,,3
