"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUAYTARA (000)",6057,5847,15,960,903,851,1394,971,587,166,210,24471
"De 12 a 14 años (001)",7,4,,3,1,,,,,,3,5
"De 15 a 19 años (002)",144,127,2,109,14,1,1,,,,17,144
"De 20 a 24 años (003)",570,509,,283,162,47,13,4,,,61,829
"De 25 a 29 años (004)",579,532,3,171,170,111,70,5,2,,47,1182
"De 30 a 34 años (005)",634,607,,88,120,170,187,38,4,,27,1943
"De 35 a 39 años (006)",625,606,,64,112,122,191,93,23,1,19,2295
"De 40 a 44 años (007)",555,543,2,39,67,92,165,102,70,6,12,2496
"De 45 a 49 años (008)",504,498,1,35,58,60,126,121,77,20,6,2534
"De 50 y más años (009)",2439,2421,7,168,199,248,641,608,411,139,18,13043
"Conviviente (010)",1638,1582,5,396,356,273,319,147,76,10,56,5008
"De 12 a 14 años (011)",5,2,,1,1,,,,,,3,3
"De 15 a 19 años (012)",84,69,1,56,11,,1,,,,15,82
"De 20 a 24 años (013)",321,308,,167,100,31,8,2,,,13,506
"De 25 a 29 años (014)",301,294,2,94,102,56,37,3,,,7,638
"De 30 a 34 años (015)",294,287,,33,60,78,94,19,3,,7,946
"De 35 a 39 años (016)",212,208,,20,39,45,61,36,7,,4,790
"De 40 a 44 años (017)",146,141,,9,17,24,47,25,17,2,5,645
"De 45 a 49 años (018)",81,80,1,4,5,14,24,19,12,1,1,399
"De 50 y más años (019)",194,193,1,12,21,25,47,43,37,7,1,999
"Separado(a) (020)",323,321,,112,70,47,54,26,11,1,2,899
"De 15 a 19 años (022)",12,12,,10,1,1,,,,,,15
"De 20 a 24 años (023)",55,54,,34,15,3,1,1,,,1,84
"De 25 a 29 años (024)",40,39,,18,15,5,,1,,,1,69
