"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia RIOJA (000)",35977,43,1942,721,669,4286,12823,1837,2405,10080,40,1131
"Agric., ganadería, caza y silvicultura (001)",19713,,13,13,4,,12820,2,40,6821,,
"Pesca (002)",7,,,,,,3,,,4,,
"Explotación de minas y canteras (003)",11,,1,3,,,,2,1,4,,
"Industrias manufactureras (004)",1462,1,16,65,18,6,,1236,75,45,,
"Suministro de electricidad, gas y agua (005)",38,,1,5,8,,,6,2,16,,
"Construcción (006)",1130,,20,15,6,,,46,746,297,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",4623,1,23,102,20,3300,,524,30,623,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",541,,3,16,1,87,,408,18,8,,
"Comercio al por mayor (009)",197,1,1,11,9,156,,,4,15,,
"Comercio al por menor (010)",3885,,19,75,10,3057,,116,8,600,,
"Hoteles y restaurantes (011)",1178,,1,32,12,772,,,,361,,
"Trans., almac. y comunicaciones (012)",1808,,7,21,50,7,,8,1483,232,,
"Intermediación financiera (013)",47,,10,5,30,,,,,2,,
"Activid.inmobil., empres. y alquileres (014)",429,,74,114,57,92,,4,20,68,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",461,25,35,16,261,21,,5,4,54,40,
"Enseñanza (016)",1585,15,1514,9,34,,,,,13,,
"Servicios sociales y de salud (017)",426,,170,171,38,15,,2,1,29,,
"Otras activ. serv.comun.soc y personales (018)",473,,42,128,13,73,,2,2,213,,
"Hogares privados con servicio doméstico (019)",1296,,,,,,,,,1296,,
"Actividad economica no especificada (021)",1290,1,15,22,118,,,,1,2,,1131
"Hombres (022)",27030,34,1030,460,336,1772,12163,1550,2359,6743,40,543
"Agric., ganadería, caza y silvicultura (023)",17839,,11,11,3,,12160,2,39,5613,,
