"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"De 20 a 24 años (113)",34,51,50,8,98,15.7,
"De 25 a 29 años (114)",76,178,175,17,98.3,9.6,
"De 30 a 34 años (115)",115,332,324,13,97.6,3.9,
"De 35 a 39 años (116)",180,680,648,20,95.3,2.9,
"De 40 a 44 años (117)",194,909,848,2,93.3,0.2,
"De 45 a 49 años (118)",190,1024,964,3,94.1,0.3,
"De 50 y más años (119)",794,5058,4429,,87.6,,
"Viudo(a) (120)",439,2757,2291,3,83.1,0.1,
"De 20 a 24 años (123)",1,1,1,,100,,
"De 25 a 29 años (124)",3,7,7,,100,,
"De 30 a 34 años (125)",6,25,25,1,100,4,
"De 35 a 39 años (126)",8,30,30,,100,,
"De 40 a 44 años (127)",6,38,35,2,92.1,5.3,
"De 45 a 49 años (128)",9,36,31,,86.1,,
"De 50 y más años (129)",406,2620,2162,,82.5,,
"Divorciado(a) (130)",25,131,116,,88.5,,
"De 35 a 39 años (136)",1,3,2,,66.7,,
"De 40 a 44 años (137)",3,8,7,,87.5,,
"De 45 a 49 años (138)",4,30,30,,100,,
"De 50 y más años (139)",17,90,77,,85.6,,
"Soltero(a) (140)",2048,912,874,27,95.8,3,
"De 12 a 14 años (141)",626,2,2,,100,,
"De 15 a 19 años (142)",635,36,35,11,97.2,30.6,
"De 20 a 24 años (143)",213,92,87,7,94.6,7.6,
"De 25 a 29 años (144)",109,75,74,6,98.7,8,
"De 30 a 34 años (145)",103,118,117,1,99.2,0.8,
"De 35 a 39 años (146)",71,107,106,1,99.1,0.9,
"De 40 a 44 años (147)",55,109,105,,96.3,,
"De 45 a 49 años (148)",40,70,66,1,94.3,1.4,
"De 50 y más años (149)",196,303,282,,93.1,,
,,,,,,,
"RURAL (160)",4669,15949,14078,376,88.3,2.4,
"De 12 a 14 años (161)",543,2,2,1,100,50,
"De 15 a 19 años (162)",660,155,152,52,98.1,33.5,
"De 20 a 24 años (163)",475,615,591,94,96.1,15.3,
"De 25 a 29 años (164)",414,970,933,81,96.2,8.4,
"De 30 a 34 años (165)",396,1315,1227,55,93.3,4.2,
"De 35 a 39 años (166)",366,1659,1518,58,91.5,3.5,
"De 40 a 44 años (167)",324,1779,1662,23,93.4,1.3,
"De 45 a 49 años (168)",274,1646,1459,12,88.6,0.7,
"De 50 y más años (169)",1217,7808,6534,,83.7,,
"Conviviente (170)",1353,5683,5077,233,89.3,4.1,
"De 12 a 14 años (171)",2,1,1,,100,,
"De 15 a 19 años (172)",89,80,78,23,97.5,28.8,
"De 20 a 24 años (173)",228,388,370,68,95.4,17.5,
"De 25 a 29 años (174)",225,610,588,55,96.4,9,
"De 30 a 34 años (175)",203,783,720,36,92,4.6,
"De 35 a 39 años (176)",168,840,765,31,91.1,3.7,
"De 40 a 44 años (177)",129,808,753,13,93.2,1.6,
"De 45 a 49 años (178)",98,688,575,7,83.6,1,
"De 50 y más años (179)",211,1485,1227,,82.6,,
"Separado(a) (180)",51,180,169,6,93.9,3.3,
"De 15 a 19 años (182)",1,1,1,,100,,
"De 20 a 24 años (183)",7,9,9,2,100,22.2,
"De 25 a 29 años (184)",8,15,15,1,100,6.7,
"De 30 a 34 años (185)",6,17,16,,94.1,,
"De 35 a 39 años (186)",7,21,21,3,100,14.3,
"De 45 a 49 años (188)",4,16,16,,100,,
"De 50 y más años (189)",18,101,91,,90.1,,
"Casado(a) (190)",1241,7133,6354,74,89.1,1,
"De 12 a 14 años (191)",2,,,,,,
"De 15 a 19 años (192)",6,8,8,1,100,12.5,
"De 20 a 24 años (193)",42,88,83,9,94.3,10.2,
"De 25 a 29 años (194)",70,216,205,15,94.9,6.9,
"De 30 a 34 años (195)",106,403,380,14,94.3,3.5,
"De 35 a 39 años (196)",154,723,661,21,91.4,2.9,
"De 40 a 44 años (197)",159,872,815,10,93.5,1.1,
"De 45 a 49 años (198)",126,820,753,4,91.8,0.5,
"De 50 y más años (199)",576,4003,3449,,86.2,,
"Viudo(a) (200)",335,2182,1747,2,80.1,0.1,
"De 15 a 19 años (202)",1,,,,,,
"De 20 a 24 años (203)",4,11,11,,100,,
"De 25 a 29 años (204)",1,4,4,,100,,
"De 30 a 34 años (205)",7,18,18,,100,,
"De 35 a 39 años (206)",4,18,16,1,88.9,5.6,
"De 40 a 44 años (207)",9,59,55,,93.2,,
"De 45 a 49 años (208)",12,68,62,1,91.2,1.5,
"De 50 y más años (209)",297,2004,1581,,78.9,,
"Divorciado(a) (210)",7,44,38,,86.4,,
"De 45 a 49 años (218)",2,4,4,,100,,
"De 50 y más años (219)",5,40,34,,85,,
"Soltero(a) (220)",1682,727,693,61,95.3,8.4,
"De 12 a 14 años (221)",539,1,1,1,100,100,
"De 15 a 19 años (222)",563,66,65,28,98.5,42.4,
"De 20 a 24 años (223)",194,119,118,15,99.2,12.6,
"De 25 a 29 años (224)",110,125,121,10,96.8,8,
"De 30 a 34 años (225)",74,94,93,5,98.9,5.3,
"De 35 a 39 años (226)",33,57,55,2,96.5,3.5,
"De 40 a 44 años (227)",27,40,39,,97.5,,
"De 45 a 49 años (228)",32,50,49,,98,,
"De 50 y más años (229)",110,175,152,,86.9,,
