"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TARMA (000)",42825,36013,2484,1916,2412
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",68,1,9,11,47
"Profes., científicos e intelectuales (002)",3015,859,458,833,865
"Técnicos de nivel medio y trab. asimilados (003)",1332,804,130,148,250
"Jefes y empleados de oficina (004)",830,220,102,150,358
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4844,4415,226,93,110
"Agricult.trabaj.calif.agrop.y pesqueros (006)",12276,11905,364,7,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",2723,2153,243,143,184
"Obreros construc.,conf.,papel, fab., instr. (008)",3657,2977,223,245,212
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",13052,11860,689,255,248
"Otra (010)",106,,,,106
"Ocupación no especificada (011)",922,819,40,31,32
"Hombres (012)",28699,24134,1758,1255,1552
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",49,1,7,8,33
"Profes., científicos e intelectuales (014)",1519,459,243,407,410
"Técnicos de nivel medio y trab. asimilados (015)",866,546,105,99,116
"Jefes y empleados de oficina (016)",401,85,42,70,204
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1847,1559,126,67,95
"Agricult.trabaj.calif.agrop.y pesqueros (018)",10353,10048,298,7,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",2226,1698,219,131,178
"Obreros construc.,conf.,papel, fab., instr. (020)",3494,2853,211,236,194
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",7504,6607,482,211,204
"Otra (022)",98,,,,98
"Ocupación no especificada (023)",342,278,25,19,20
"Mujeres (024)",14126,11879,726,661,860
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",19,,2,3,14
"Profes., científicos e intelectuales (026)",1496,400,215,426,455
"Técnicos de nivel medio y trab. asimilados (027)",466,258,25,49,134
"Jefes y empleados de oficina (028)",429,135,60,80,154
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2997,2856,100,26,15
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1923,1857,66,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",497,455,24,12,6
"Obreros construc.,conf.,papel, fab., instr. (032)",163,124,12,9,18
