"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia SAN MARTIN (000)",35559,157756,32067,142969,3492,14787
"Casa independiente (001)",31697,143666,29340,133796,2357,9870
"Departamento en edificio (002)",239,781,239,781,,
"Vivienda en quinta (003)",1810,5945,1810,5945,,
"Vivienda en casa de vecindad (004)",376,1358,376,1358,,
"Choza o cabaña (005)",1130,4909,,,1130,4909
"Vivienda improvisada (006)",212,811,212,811,,
"Local no dest.para hab. humana (007)",70,227,67,222,3,5
"Otro tipo (008)",25,59,23,56,2,3
