"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CARHUAZ (000)",12889,10971,833,441,644
"Hombres (001)",9533,8094,660,330,449
"Mujeres (002)",3356,2877,173,111,195
"De 06 a 14 años (003)",189,180,8,1,
"Hombres (004)",118,113,5,,
"Mujeres (005)",71,67,3,1,
"De 15 a 29 años (006)",4238,3548,340,152,198
"Hombres (007)",3103,2589,274,113,127
"Mujeres (008)",1135,959,66,39,71
"De 30 a 44 años (009)",4279,3516,293,192,278
"Hombres (010)",3190,2632,229,142,187
"Mujeres (011)",1089,884,64,50,91
"De 45 a 64 años (012)",3128,2718,160,91,159
"Hombres (013)",2330,2003,129,71,127
"Mujeres (014)",798,715,31,20,32
"De 65 y más años (015)",1055,1009,32,5,9
"Hombres (016)",792,757,23,4,8
"Mujeres (017)",263,252,9,1,1
,,,,,
"URBANA (018)",5250,4125,423,283,419
"Hombres (019)",3440,2657,316,201,266
"Mujeres (020)",1810,1468,107,82,153
"De 06 a 14 años (021)",74,67,7,,
"Hombres (022)",45,41,4,,
"Mujeres (023)",29,26,3,,
"De 15 a 29 años (024)",1659,1302,165,78,114
"Hombres (025)",1088,844,124,55,65
"Mujeres (026)",571,458,41,23,49
"De 30 a 44 años (027)",1814,1343,149,131,191
"Hombres (028)",1178,862,111,91,114
"Mujeres (029)",636,481,38,40,77
"De 45 a 64 años (030)",1294,1030,86,70,108
"Hombres (031)",858,658,66,52,82
"Mujeres (032)",436,372,20,18,26
"De 65 y más años (033)",409,383,16,4,6
"Hombres (034)",271,252,11,3,5
"Mujeres (035)",138,131,5,1,1
,,,,,
"RURAL (036)",7639,6846,410,158,225
"Hombres (037)",6093,5437,344,129,183
"Mujeres (038)",1546,1409,66,29,42
"De 06 a 14 años (039)",115,113,1,1,
"Hombres (040)",73,72,1,,
"Mujeres (041)",42,41,,1,
"De 15 a 29 años (042)",2579,2246,175,74,84
"Hombres (043)",2015,1745,150,58,62
"Mujeres (044)",564,501,25,16,22
"De 30 a 44 años (045)",2465,2173,144,61,87
"Hombres (046)",2012,1770,118,51,73
"Mujeres (047)",453,403,26,10,14
"De 45 a 64 años (048)",1834,1688,74,21,51
"Hombres (049)",1472,1345,63,19,45
"Mujeres (050)",362,343,11,2,6
"De 65 y más años (051)",646,626,16,1,3
"Hombres (052)",521,505,12,1,3
"Mujeres (053)",125,121,4,,
