"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia HUANCA SANCOS (000)",5464,2994,34,40,2263,73,,13,,47
"Hombres (001)",2121,1606,32,24,397,26,,8,,28
"Mujeres (002)",3343,1388,2,16,1866,47,,5,,19
"De 06 a 14 años (003)",2211,2149,,,31,18,,4,,9
"Hombres (004)",1127,1099,,,15,7,,2,,4
"Mujeres (005)",1084,1050,,,16,11,,2,,5
"De 15 a 29 años (006)",1341,827,1,7,500,,,2,,4
"Hombres (007)",571,497,1,3,67,,,,,3
"Mujeres (008)",770,330,,4,433,,,2,,1
"De 30 a 44 años (009)",680,12,,9,641,,,3,,15
"Hombres (010)",123,6,,8,96,,,3,,10
"Mujeres (011)",557,6,,1,545,,,,,5
"De 45 a 64 años (012)",648,2,12,8,614,1,,1,,10
"Hombres (013)",130,2,11,6,101,1,,1,,8
"Mujeres (014)",518,,1,2,513,,,,,2
"De 65 y más años (015)",584,4,21,16,477,54,,3,,9
"Hombres (016)",170,2,20,7,118,18,,2,,3
"Mujeres (017)",414,2,1,9,359,36,,1,,6
,,,,,,,,,,
"AREA URBANA (018)",3824,2125,30,31,1546,51,,10,,31
"Hombres (019)",1514,1146,28,16,279,19,,7,,19
"Mujeres (020)",2310,979,2,15,1267,32,,3,,12
"De 06 a 14 años (021)",1576,1536,,,21,11,,3,,5
"Hombres (022)",815,796,,,11,5,,2,,1
"Mujeres (023)",761,740,,,10,6,,1,,4
"De 15 a 29 años (024)",910,584,,7,313,,,2,,4
"Hombres (025)",398,347,,3,45,,,,,3
"Mujeres (026)",512,237,,4,268,,,2,,1
"De 30 a 44 años (027)",456,2,,6,436,,,3,,9
"Hombres (028)",80,1,,5,65,,,3,,6
"Mujeres (029)",376,1,,1,371,,,,,3
"De 45 a 64 años (030)",449,,9,6,427,,,1,,6
"Hombres (031)",87,,8,4,68,,,1,,6
"Mujeres (032)",362,,1,2,359,,,,,
"De 65 y más años (033)",433,3,21,12,349,40,,1,,7
"Hombres (034)",134,2,20,4,90,14,,1,,3
"Mujeres (035)",299,1,1,8,259,26,,,,4
,,,,,,,,,,
"AREA RURAL (036)",1640,869,4,9,717,22,,3,,16
"Hombres (037)",607,460,4,8,118,7,,1,,9
"Mujeres (038)",1033,409,,1,599,15,,2,,7
"De 06 a 14 años (039)",635,613,,,10,7,,1,,4
"Hombres (040)",312,303,,,4,2,,,,3
"Mujeres (041)",323,310,,,6,5,,1,,1
"De 15 a 29 años (042)",431,243,1,,187,,,,,
"Hombres (043)",173,150,1,,22,,,,,
"Mujeres (044)",258,93,,,165,,,,,
"De 30 a 44 años (045)",224,10,,3,205,,,,,6
"Hombres (046)",43,5,,3,31,,,,,4
"Mujeres (047)",181,5,,,174,,,,,2
"De 45 a 64 años (048)",199,2,3,2,187,1,,,,4
"Hombres (049)",43,2,3,2,33,1,,,,2
"Mujeres (050)",156,,,,154,,,,,2
"De 65 y más años (051)",151,1,,4,128,14,,2,,2
"Hombres (052)",36,,,3,28,4,,1,,
"Mujeres (053)",115,1,,1,100,10,,1,,2
