"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",365,87,278
"Sin nivel (001)",89,20,69
"Primaria (003)",138,29,109
"Secundaria (004)",92,21,71
"Superior no univ. incompleta (005)",10,5,5
"Superior no univ. completa (006)",8,5,3
"Superior univ. incompleta (007)",7,4,3
"Superior univ. completa (008)",21,3,18
"Hombres (010)",316,68,248
"Sin nivel (011)",76,17,59
"Primaria (013)",118,22,96
"Secundaria (014)",83,17,66
"Superior no univ. incompleta (015)",6,2,4
"Superior no univ. completa (016)",6,3,3
"Superior univ. incompleta (017)",7,4,3
"Superior univ. completa (018)",20,3,17
"Mujeres (020)",49,19,30
"Sin nivel (021)",13,3,10
"Primaria (023)",20,7,13
"Secundaria (024)",9,4,5
"Superior no univ. incompleta (025)",4,3,1
"Superior no univ. completa (026)",2,2,
"Superior univ. completa (028)",1,,1
,,,
"AREA URBANA (030)",57,13,44
"Sin nivel (031)",5,,5
"Primaria (033)",18,3,15
"Secundaria (034)",17,2,15
"Superior no univ. incompleta (035)",6,4,2
"Superior no univ. completa (036)",5,3,2
"Superior univ. incompleta (037)",3,1,2
"Superior univ. completa (038)",3,,3
"Hombres (040)",42,5,37
"Sin nivel (041)",3,,3
"Primaria (043)",15,1,14
"Secundaria (044)",13,1,12
"Superior no univ. incompleta (045)",3,1,2
"Superior no univ. completa (046)",3,1,2
"Superior univ. incompleta (047)",3,1,2
"Superior univ. completa (048)",2,,2
"Mujeres (050)",15,8,7
"Sin nivel (051)",2,,2
"Primaria (053)",3,2,1
"Secundaria (054)",4,1,3
"Superior no univ. incompleta (055)",3,3,
"Superior no univ. completa (056)",2,2,
"Superior univ. completa (058)",1,,1
,,,
"AREA RURAL (060)",308,74,234
"Sin nivel (061)",84,20,64
"Primaria (063)",120,26,94
"Secundaria (064)",75,19,56
"Superior no univ. incompleta (065)",4,1,3
"Superior no univ. completa (066)",3,2,1
"Superior univ. incompleta (067)",4,3,1
"Superior univ. completa (068)",18,3,15
"Hombres (070)",274,63,211
"Sin nivel (071)",73,17,56
"Primaria (073)",103,21,82
"Secundaria (074)",70,16,54
"Superior no univ. incompleta (075)",3,1,2
"Superior no univ. completa (076)",3,2,1
"Superior univ. incompleta (077)",4,3,1
"Superior univ. completa (078)",18,3,15
"Mujeres (080)",34,11,23
"Sin nivel (081)",11,3,8
"Primaria (083)",17,5,12
"Secundaria (084)",5,3,2
"Superior no univ. incompleta (085)",1,,1
