"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia JAEN (000)",62184,51369,4807,3014,2994
"Hombres (001)",47316,39724,3651,1905,2036
"Mujeres (002)",14868,11645,1156,1109,958
"De 06 a 14 años (003)",1538,1414,109,13,2
"Hombres (004)",1179,1076,90,11,2
"Mujeres (005)",359,338,19,2,
"De 15 a 29 años (006)",21921,18497,1844,876,704
"Hombres (007)",16581,14205,1373,556,447
"Mujeres (008)",5340,4292,471,320,257
"De 30 a 44 años (009)",21322,16682,1776,1449,1415
"Hombres (010)",15642,12511,1299,897,935
"Mujeres (011)",5680,4171,477,552,480
"De 45 a 64 años (012)",13881,11467,934,649,831
"Hombres (013)",10816,9031,752,417,616
"Mujeres (014)",3065,2436,182,232,215
"De 65 y más años (015)",3522,3309,144,27,42
"Hombres (016)",3098,2901,137,24,36
"Mujeres (017)",424,408,7,3,6
,,,,,
"URBANA (018)",33711,24793,3560,2794,2564
"Hombres (019)",22644,16657,2581,1730,1676
"Mujeres (020)",11067,8136,979,1064,888
"De 06 a 14 años (021)",767,671,81,13,2
"Hombres (022)",534,455,66,11,2
"Mujeres (023)",233,216,15,2,
"De 15 a 29 años (024)",11397,8639,1368,797,593
"Hombres (025)",7506,5679,965,493,369
"Mujeres (026)",3891,2960,403,304,224
"De 30 a 44 años (027)",12470,8550,1329,1361,1230
"Hombres (028)",8063,5517,941,829,776
"Mujeres (029)",4407,3033,388,532,454
"De 45 a 64 años (030)",7675,5676,693,602,704
"Hombres (031)",5360,3957,524,379,500
"Mujeres (032)",2315,1719,169,223,204
"De 65 y más años (033)",1402,1257,89,21,35
"Hombres (034)",1181,1049,85,18,29
"Mujeres (035)",221,208,4,3,6
,,,,,
"RURAL (036)",28473,26576,1247,220,430
"Hombres (037)",24672,23067,1070,175,360
"Mujeres (038)",3801,3509,177,45,70
"De 06 a 14 años (039)",771,743,28,,
"Hombres (040)",645,621,24,,
"Mujeres (041)",126,122,4,,
"De 15 a 29 años (042)",10524,9858,476,79,111
"Hombres (043)",9075,8526,408,63,78
"Mujeres (044)",1449,1332,68,16,33
"De 30 a 44 años (045)",8852,8132,447,88,185
"Hombres (046)",7579,6994,358,68,159
"Mujeres (047)",1273,1138,89,20,26
"De 45 a 64 años (048)",6206,5791,241,47,127
"Hombres (049)",5456,5074,228,38,116
"Mujeres (050)",750,717,13,9,11
"De 65 y más años (051)",2120,2052,55,6,7
"Hombres (052)",1917,1852,52,6,7
"Mujeres (053)",203,200,3,,
