"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TACNA (000)",113629,79029,10257,9761,14582
"Hombres (001)",64978,43687,6527,5680,9084
"Mujeres (002)",48651,35342,3730,4081,5498
"De 06 a 14 años (003)",780,708,49,17,6
"Hombres (004)",461,409,36,11,5
"Mujeres (005)",319,299,13,6,1
"De 15 a 29 años (006)",36752,25918,4168,3181,3485
"Hombres (007)",20494,14060,2642,1822,1970
"Mujeres (008)",16258,11858,1526,1359,1515
"De 30 a 44 años (009)",45283,30006,3973,4536,6768
"Hombres (010)",25352,16272,2416,2561,4103
"Mujeres (011)",19931,13734,1557,1975,2665
"De 45 a 64 años (012)",27001,19062,1879,1916,4144
"Hombres (013)",16153,10801,1285,1204,2863
"Mujeres (014)",10848,8261,594,712,1281
"De 65 y más años (015)",3813,3335,188,111,179
"Hombres (016)",2518,2145,148,82,143
"Mujeres (017)",1295,1190,40,29,36
,,,,,
"URBANA (018)",105217,72133,9587,9404,14093
"Hombres (019)",59401,39168,6056,5444,8733
"Mujeres (020)",45816,32965,3531,3960,5360
"De 06 a 14 años (021)",692,633,40,14,5
"Hombres (022)",408,366,28,10,4
"Mujeres (023)",284,267,12,4,1
"De 15 a 29 años (024)",34162,23929,3884,3043,3306
"Hombres (025)",18781,12754,2443,1738,1846
"Mujeres (026)",15381,11175,1441,1305,1460
"De 30 a 44 años (027)",42511,27813,3747,4389,6562
"Hombres (028)",23534,14852,2265,2462,3955
"Mujeres (029)",18977,12961,1482,1927,2607
"De 45 a 64 años (030)",24770,17115,1754,1853,4048
"Hombres (031)",14670,9532,1193,1156,2789
"Mujeres (032)",10100,7583,561,697,1259
"De 65 y más años (033)",3082,2643,162,105,172
"Hombres (034)",2008,1664,127,78,139
"Mujeres (035)",1074,979,35,27,33
,,,,,
"RURAL (036)",8412,6896,670,357,489
"Hombres (037)",5577,4519,471,236,351
"Mujeres (038)",2835,2377,199,121,138
"De 06 a 14 años (039)",88,75,9,3,1
"Hombres (040)",53,43,8,1,1
"Mujeres (041)",35,32,1,2,
"De 15 a 29 años (042)",2590,1989,284,138,179
"Hombres (043)",1713,1306,199,84,124
"Mujeres (044)",877,683,85,54,55
"De 30 a 44 años (045)",2772,2193,226,147,206
"Hombres (046)",1818,1420,151,99,148
"Mujeres (047)",954,773,75,48,58
"De 45 a 64 años (048)",2231,1947,125,63,96
"Hombres (049)",1483,1269,92,48,74
"Mujeres (050)",748,678,33,15,22
"De 65 y más años (051)",731,692,26,6,7
"Hombres (052)",510,481,21,4,4
"Mujeres (053)",221,211,5,2,3
