"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PACASMAYO (000)",31286,6997,11780,9900,872,873,864
"Sin nivel (001)",1744,94,972,492,48,63,75
"Educación inicial (002)",29,3,18,3,,2,3
"Primaria (003)",7372,487,3844,2311,253,213,264
"Secundaria (004)",10747,1672,4531,3599,279,346,320
"Superior no univ. incompleta (005)",2304,621,648,846,57,63,69
"Superior no univ. completa (006)",4904,2125,1070,1431,101,111,66
"Superior univ. incompleta (007)",1176,408,275,376,48,29,40
"Superior univ. completa (008)",3010,1587,422,842,86,46,27
"Hombres (010)",22607,4043,10344,7024,746,413,37
"Sin nivel (011)",1000,47,667,230,38,17,1
"Educación inicial (012)",21,3,13,3,,2,
"Primaria (013)",5498,316,3247,1606,225,96,8
"Secundaria (014)",8514,1172,4189,2706,242,189,16
"Superior no univ. incompleta (015)",1655,366,591,615,46,32,5
"Superior no univ. completa (016)",3101,1036,994,945,78,44,4
"Superior univ. incompleta (017)",843,244,254,290,39,14,2
"Superior univ. completa (018)",1975,859,389,629,78,19,1
"Mujeres (020)",8679,2954,1436,2876,126,460,827
"Sin nivel (021)",744,47,305,262,10,46,74
"Educación inicial (022)",8,,5,,,,3
"Primaria (023)",1874,171,597,705,28,117,256
"Secundaria (024)",2233,500,342,893,37,157,304
"Superior no univ. incompleta (025)",649,255,57,231,11,31,64
"Superior no univ. completa (026)",1803,1089,76,486,23,67,62
"Superior univ. incompleta (027)",333,164,21,86,9,15,38
"Superior univ. completa (028)",1035,728,33,213,8,27,26
,,,,,,,
"URBANA (030)",29142,6855,10309,9582,754,805,837
"Sin nivel (031)",1509,91,794,458,36,57,73
"Educación inicial (032)",24,3,14,3,,1,3
"Primaria (033)",6491,470,3210,2181,197,183,250
"Secundaria (034)",10014,1618,4022,3501,239,323,311
"Superior no univ. incompleta (035)",2223,609,594,835,55,62,68
"Superior no univ. completa (036)",4757,2084,1010,1397,96,105,65
"Superior univ. incompleta (037)",1152,405,255,376,47,29,40
"Superior univ. completa (038)",2972,1575,410,831,84,45,27
"Hombres (040)",20780,3945,9039,6763,633,364,36
"Sin nivel (041)",833,46,533,208,29,16,1
"Educación inicial (042)",18,3,11,3,,1,
"Primaria (043)",4747,303,2701,1491,169,75,8
"Secundaria (044)",7847,1127,3708,2625,204,168,15
"Superior no univ. incompleta (045)",1580,356,539,605,44,31,5
"Superior no univ. completa (046)",2994,1017,936,923,73,41,4
"Superior univ. incompleta (047)",822,244,234,290,38,14,2
"Superior univ. completa (048)",1939,849,377,618,76,18,1
"Mujeres (050)",8362,2910,1270,2819,121,441,801
"Sin nivel (051)",676,45,261,250,7,41,72
"Educación inicial (052)",6,,3,,,,3
"Primaria (053)",1744,167,509,690,28,108,242
"Secundaria (054)",2167,491,314,876,35,155,296
"Superior no univ. incompleta (055)",643,253,55,230,11,31,63
"Superior no univ. completa (056)",1763,1067,74,474,23,64,61
"Superior univ. incompleta (057)",330,161,21,86,9,15,38
"Superior univ. completa (058)",1033,726,33,213,8,27,26
,,,,,,,
"RURAL (060)",2144,142,1471,318,118,68,27
"Sin nivel (061)",235,3,178,34,12,6,2
"Educación inicial (062)",5,,4,,,1,
"Primaria (063)",881,17,634,130,56,30,14
"Secundaria (064)",733,54,509,98,40,23,9
"Superior no univ. incompleta (065)",81,12,54,11,2,1,1
"Superior no univ. completa (066)",147,41,60,34,5,6,1
"Superior univ. incompleta (067)",24,3,20,,1,,
"Superior univ. completa (068)",38,12,12,11,2,1,
"Hombres (070)",1827,98,1305,261,113,49,1
"Sin nivel (071)",167,1,134,22,9,1,
"Educación inicial (072)",3,,2,,,1,
"Primaria (073)",751,13,546,115,56,21,
"Secundaria (074)",667,45,481,81,38,21,1
"Superior no univ. incompleta (075)",75,10,52,10,2,1,
"Superior no univ. completa (076)",107,19,58,22,5,3,
"Superior univ. incompleta (077)",21,,20,,1,,
"Superior univ. completa (078)",36,10,12,11,2,1,
"Mujeres (080)",317,44,166,57,5,19,26
"Sin nivel (081)",68,2,44,12,3,5,2
"Educación inicial (082)",2,,2,,,,
"Primaria (083)",130,4,88,15,,9,14
"Secundaria (084)",66,9,28,17,2,2,8
"Superior no univ. incompleta (085)",6,2,2,1,,,1
"Superior no univ. completa (086)",40,22,2,12,,3,1
"Superior univ. incompleta (087)",3,3,,,,,
"Superior univ. completa (088)",2,2,,,,,
