"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PISCO (000)",47371,43996,11840,7453,7357,5680,6079,2917,1541,1129,3375,110435
"De 12 a 14 años (001)",3881,3845,3835,9,1,,,,,,36,11
"De 15 a 19 años (002)",5970,5787,5024,709,48,3,3,,,,183,826
"De 20 a 24 años (003)",5775,4755,1702,2163,715,148,23,4,,,1020,4159
"De 25 a 29 años (004)",5284,4429,404,1782,1535,537,161,6,4,,855,7204
"De 30 a 34 años (005)",4957,4538,224,1020,1657,1052,526,49,5,5,419,10121
"De 35 a 39 años (006)",4615,4327,143,608,1233,1150,966,193,29,5,288,12214
"De 40 a 44 años (007)",3875,3695,120,355,772,970,1075,304,81,18,180,12323
"De 45 a 49 años (008)",3219,3114,78,267,525,674,951,419,147,53,105,12030
"De 50 y más años (009)",9795,9506,310,540,871,1146,2374,1942,1275,1048,289,51547
"Conviviente (010)",11714,11255,829,3414,2771,1729,1538,580,233,161,459,28316
"De 12 a 14 años (011)",38,12,7,4,1,,,,,,26,6
"De 15 a 19 años (012)",906,755,217,496,38,2,2,,,,151,586
"De 20 a 24 años (013)",2412,2275,297,1350,495,113,18,2,,,137,2768
"De 25 a 29 años (014)",2373,2300,137,851,873,327,106,4,2,,73,4063
"De 30 a 34 años (015)",1957,1924,59,360,679,503,284,32,3,4,33,4700
"De 35 a 39 años (016)",1425,1408,29,157,356,369,386,92,18,1,17,4379
"De 40 a 44 años (017)",908,904,19,80,153,210,300,105,31,6,4,3335
"De 45 a 49 años (018)",632,625,20,45,89,99,200,109,43,20,7,2711
"De 50 y más años (019)",1063,1052,44,71,87,106,242,236,136,130,11,5768
"Separado(a) (020)",2636,2591,21,727,562,395,470,250,102,64,45,8314
"De 12 a 14 años (021)",3,1,,1,,,,,,,2,1
"De 15 a 19 años (022)",65,55,4,50,1,,,,,,10,52
