"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia VIRU (000)",19197,17868,77,4584,3848,2776,3365,1982,907,329,1329,59291
"De 12 a 14 años (001)",44,24,,21,3,,,,,,20,27
"De 15 a 19 años (002)",939,803,12,680,90,16,5,,,,136,928
"De 20 a 24 años (003)",3128,2638,17,1713,713,167,22,6,,,490,3773
"De 25 a 29 años (004)",3139,2857,10,1040,1087,502,209,9,,,282,5650
"De 30 a 34 años (005)",2551,2408,5,465,782,624,460,66,4,2,143,6351
"De 35 a 39 años (006)",2195,2113,4,227,475,572,613,187,32,3,82,7032
"De 40 a 44 años (007)",1756,1707,7,141,265,338,567,293,81,15,49,6898
"De 45 a 49 años (008)",1363,1330,3,106,142,184,454,296,116,29,33,6157
"De 50 y más años (009)",4082,3988,19,191,291,373,1035,1125,674,280,94,22475
"Conviviente (010)",9820,9459,40,2803,2316,1533,1587,746,330,104,361,27694
"De 12 a 14 años (011)",28,10,,9,1,,,,,,18,11
"De 15 a 19 años (012)",716,598,10,507,72,7,2,,,,118,680
"De 20 a 24 años (013)",2037,1917,11,1209,544,134,15,4,,,120,2789
"De 25 a 29 años (014)",1956,1916,5,627,755,365,156,8,,,40,3936
"De 30 a 34 años (015)",1472,1442,3,228,464,396,305,41,3,2,30,3976
"De 35 a 39 años (016)",1175,1157,2,97,261,312,354,109,21,1,18,3974
"De 40 a 44 años (017)",806,802,3,44,105,149,300,152,43,6,4,3436
"De 45 a 49 años (018)",561,558,1,36,44,71,194,143,56,13,3,2726
"De 50 y más años (019)",1069,1059,5,46,70,99,261,289,207,82,10,6166
"Separado(a) (020)",1580,1549,4,556,356,189,242,149,36,17,31,4334
"De 12 a 14 años (021)",2,1,,1,,,,,,,1,1
"De 15 a 19 años (022)",92,86,,82,2,1,1,,,,6,93
