"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia CAÑETE",,,,,,
"Viviendas particulares (001)",47175,44668,2020,403,77,7
"Ocupantes presentes (002)",198348,176562,15957,4535,1163,131
"Casa independiente",,,,,,
"Viviendas particulares (004)",43288,40938,1903,370,71,6
"Ocupantes presentes (005)",184110,163765,14982,4169,1078,116
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",355,325,23,5,2,
"Ocupantes presentes (008)",1352,1082,183,58,29,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",419,394,14,10,1,
"Ocupantes presentes (011)",1677,1419,134,113,11,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",279,262,14,2,1,
"Ocupantes presentes (014)",1076,895,133,28,20,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",733,728,5,,,
"Ocupantes presentes (017)",2121,2087,34,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",1868,1789,61,15,2,1
"Ocupantes presentes (020)",7262,6574,491,157,25,15
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",125,124,,1,,
"Ocupantes presentes (023)",340,330,,10,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",108,108,,,,
"Ocupantes presentes (026)",410,410,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",38924,36598,1864,380,75,7
"Ocupantes presentes (029)",166965,146613,14782,4304,1135,131
"Casa independiente",,,,,,
"Viviendas particulares (031)",35839,33665,1752,347,69,6
"Ocupantes presentes (032)",155091,136146,13841,3938,1050,116
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",355,325,23,5,2,
"Ocupantes presentes (035)",1352,1082,183,58,29,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",419,394,14,10,1,
"Ocupantes presentes (038)",1677,1419,134,113,11,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",279,262,14,2,1,
"Ocupantes presentes (041)",1076,895,133,28,20,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",1868,1789,61,15,2,1
"Ocupantes presentes (047)",7262,6574,491,157,25,15
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",102,101,,1,,
"Ocupantes presentes (050)",273,263,,10,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",62,62,,,,
"Ocupantes presentes (053)",234,234,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",8251,8070,156,23,2,
"Ocupantes presentes (056)",31383,29949,1175,231,28,
"Casa independiente",,,,,,
"Viviendas particulares (058)",7449,7273,151,23,2,
"Ocupantes presentes (059)",29019,27619,1141,231,28,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",733,728,5,,,
"Ocupantes presentes (071)",2121,2087,34,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",23,23,,,,
"Ocupantes presentes (077)",67,67,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",46,46,,,,
"Ocupantes presentes (080)",176,176,,,,
