"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia SANTA CRUZ (000)",10846,43553,2277,8890,8569,34663
"Casa independiente (001)",10425,41928,2248,8781,8177,33147
"Departamento en edificio (002)",5,23,5,23,,
"Vivienda en quinta (003)",11,40,11,40,,
"Vivienda en casa de vecindad (004)",6,29,6,29,,
"Choza o cabaña (005)",390,1512,,,390,1512
"Vivienda improvisada (006)",1,1,1,1,,
"Local no dest.para hab. humana (007)",7,18,5,14,2,4
"Otro tipo (008)",1,2,1,2,,
