"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia TARMA (000)",30303,279,946,2092,3846,6571,9380,7189
"De 12 a 14 años (001)",23,,,,,,2,21
"De 15 a 19 años (002)",650,,,,,,401,249
"De 20 a 24 años (003)",2644,,,,,7,1641,996
"De 25 a 29 años (004)",3408,,,,,213,2199,996
"De 30 a 34 años (005)",3446,,,,1,695,1978,772
"De 35 a 39 años (006)",3779,,,,60,1295,1726,698
"De 40 a 44 años (007)",3242,,,1,271,1445,934,591
"De 45 a 49 años (008)",2743,,,20,518,1331,409,465
"De 50 y más años (009)",10368,279,946,2071,2996,1585,90,2401
"Conviviente (010)",10460,11,34,131,493,2166,5447,2178
"De 12 a 14 años (011)",12,,,,,,1,11
"De 15 a 19 años (012)",428,,,,,,258,170
"De 20 a 24 años (013)",1629,,,,,,1165,464
"De 25 a 29 años (014)",2031,,,,,121,1478,432
"De 30 a 34 años (015)",1864,,,,1,377,1174,312
"De 35 a 39 años (016)",1694,,,,25,545,882,242
"De 40 a 44 años (017)",1071,,,,69,489,350,163
"De 45 a 49 años (018)",726,,,3,121,354,122,126
"De 50 y más años (019)",1005,11,34,128,277,280,17,258
"Separado(a) (020)",1907,9,41,99,241,500,563,454
"De 12 a 14 años (021)",2,,,,,,,2
"De 15 a 19 años (022)",56,,,,,,39,17
"De 20 a 24 años (023)",168,,,,,2,111,55
"De 25 a 29 años (024)",213,,,,,21,124,68
"De 30 a 34 años (025)",244,,,,,68,118,58
"De 35 a 39 años (026)",265,,,,5,120,93,47
"De 40 a 44 años (027)",251,,,,27,118,54,52
"De 45 a 49 años (028)",180,,,1,51,82,19,27
"De 50 y más años (029)",528,9,41,98,158,89,5,128
"Casado(a) (030)",11605,71,360,1115,2260,3154,2552,2093
"De 12 a 14 años (031)",3,,,,,,,3
"De 15 a 19 años (032)",36,,,,,,17,19
"De 20 a 24 años (033)",205,,,,,1,142,62
"De 25 a 29 años (034)",562,,,,,34,406,122
"De 30 a 34 años (035)",937,,,,,178,562,197
"De 35 a 39 años (036)",1397,,,,19,483,662,233
"De 40 a 44 años (037)",1510,,,1,125,702,466,216
"De 45 a 49 años (038)",1456,,,9,267,752,240,188
"De 50 y más años (039)",5499,71,360,1105,1849,1004,57,1053
"Viudo(a) (040)",3238,172,459,660,647,372,125,803
"De 12 a 14 años (041)",1,,,,,,,1
"De 15 a 19 años (042)",1,,,,,,,1
"De 20 a 24 años (043)",6,,,,,,4,2
"De 25 a 29 años (044)",27,,,,,5,18,4
"De 30 a 34 años (045)",36,,,,,13,15,8
"De 35 a 39 años (046)",89,,,,3,40,28,18
"De 40 a 44 años (047)",132,,,,15,53,30,34
