"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia LA CONVENCION (000)",62607,67,3486,1237,940,5838,25416,2085,3426,17920,311,1881
"Agric., ganadería, caza y silvicultura (001)",37966,,65,64,7,,25404,11,22,12393,,
"Pesca (002)",25,,1,,,,12,,,12,,
"Explotación de minas y canteras (003)",374,1,9,17,5,,,27,7,308,,
"Industrias manufactureras (004)",1587,1,25,46,24,8,,1360,101,22,,
"Suministro de electricidad, gas y agua (005)",113,1,12,15,4,,,29,22,30,,
"Construcción (006)",2750,,70,47,31,,,127,1566,909,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5963,1,28,117,26,4435,,480,27,849,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",506,,2,18,3,109,,356,15,3,,
"Comercio al por mayor (009)",265,1,6,16,14,210,,,4,14,,
"Comercio al por menor (010)",5192,,20,83,9,4116,,124,8,832,,
"Hoteles y restaurantes (011)",1967,,12,77,21,1144,,1,2,710,,
"Trans., almac. y comunicaciones (012)",1925,,11,71,79,25,,6,1434,299,,
"Intermediación financiera (013)",96,3,17,13,45,,,1,3,14,,
"Activid.inmobil., empres. y alquileres (014)",828,,236,198,121,81,,6,42,144,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",2311,37,180,96,407,29,,25,174,1052,311,
"Enseñanza (016)",2554,23,2461,11,26,,,,,33,,
"Servicios sociales y de salud (017)",668,,273,307,32,23,,7,6,20,,
"Otras activ. serv.comun.soc y personales (018)",565,,72,133,40,93,,5,20,202,,
"Hogares privados con servicio doméstico (019)",920,,,,,,,,,920,,
"Actividad economica no especificada (021)",1995,,14,25,72,,,,,3,,1881
"Hombres (022)",46388,57,1934,796,523,1956,23013,1830,3362,11863,303,751
"Agric., ganadería, caza y silvicultura (023)",31867,,58,61,5,,23001,10,20,8712,,
"Pesca (024)",24,,1,,,,12,,,11,,
"Explotación de minas y canteras (025)",372,1,9,16,5,,,27,7,307,,
"Industrias manufactureras (026)",1307,1,15,36,20,4,,1127,84,20,,
"Suministro de electricidad, gas y agua (027)",110,1,11,15,4,,,28,22,29,,
"Construcción (028)",2652,,66,44,17,,,124,1547,854,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2426,1,16,80,10,1564,,465,26,264,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",446,,2,16,1,61,,348,15,3,,
"Comercio al por mayor (031)",143,1,3,12,7,104,,,4,12,,
"Comercio al por menor (032)",1837,,11,52,2,1399,,117,7,249,,
"Hoteles y restaurantes (033)",392,,5,24,6,223,,1,2,131,,
"Trans., almac. y comunicaciones (034)",1767,,8,44,44,22,,6,1410,233,,
"Intermediación financiera (035)",65,3,13,6,29,,,,3,11,,
"Activid.inmobil., empres. y alquileres (036)",624,,176,143,62,77,,6,42,118,,
